LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31003,784,478993.6,6198689.5,32.9,30.5,0.0,0.000000,2353.650,372.9600,1769.670,364.5700,1532.790,569.4000,1076.560,542.8500,700.9900,412.8100,488.2300,212.6200
1,31003,794,478993.0,6198721.5,33.8,29.8,0.0,0.000000,2475.000,490.4800,1790.590,419.6800,1528.630,586.7499,1076.650,545.2500,703.0199,414.2400,494.2600,216.2400
1,31003,804,478993.4,6198754.0,34.9,29.1,0.0,0.000000,2471.830,591.0400,1738.830,457.4899,1453.260,577.8500,1034.780,511.8700,685.3200,396.2800,468.2899,205.5900
1,31003,814,478994.7,6198787.5,36.1,28.1,0.0,0.000000,2444.240,666.1899,1677.430,482.4800,1368.700,564.7599,989.9399,470.9200,672.6699,375.3500,448.3700,197.9600
1,31003,824,478996.5,6198821.0,36.5,28.0,0.0,0.000000,2351.090,661.4199,1593.740,475.6100,1297.170,531.6100,954.3199,437.6600,658.5200,357.2500,420.1900,182.1900
1,31003,834,478998.5,6198854.5,35.4,30.4,0.0,0.000000,2060.140,527.4000,1430.080,398.8400,1177.350,463.3900,876.7799,387.2700,613.2199,323.5200,389.8499,161.7700
1,31003,844,479000.3,6198887.0,34.2,32.9,0.0,0.000000,1807.270,361.8300,1311.520,316.0600,1089.940,416.0900,807.7599,352.1500,569.5299,294.1200,370.4700,149.9900
1,31003,854,479001.5,6198919.0,33.2,34.5,0.0,0.000000,1724.230,264.1200,1288.030,287.6800,1074.290,411.8600,791.9500,347.6200,559.6100,286.4600,351.6000,143.1900
1,31003,864,479001.7,6198950.5,32.4,35.8,0.0,0.000000,1675.050,202.0300,1259.790,266.1800,1035.480,405.7000,765.0200,333.3300,542.5600,275.0500,335.9000,139.0900
1,31003,874,479001.0,6198982.5,32.4,36.0,0.0,0.000000,1638.930,198.9500,1241.890,270.7500,997.8199,403.2600,739.0599,318.9800,530.0700,263.6600,324.0400,135.7300
1,31003,884,478999.8,6199015.0,32.5,35.4,0.0,0.000000,1691.660,206.2600,1281.110,288.3600,1004.560,421.6900,745.1299,323.4400,534.7900,266.7800,325.1700,139.1600
1,31003,894,478998.6,6199048.0,32.8,34.8,0.0,0.000000,1741.720,218.8500,1314.640,309.0700,1011.700,436.3100,751.6600,326.5400,540.0300,268.3400,330.1000,144.5300
1,31003,904,478997.6,6199082.0,33.1,34.0,0.0,0.000000,1819.150,251.2100,1369.240,331.5600,1042.240,460.7100,767.5900,338.8300,552.7900,279.1700,337.6800,148.4600
1,31003,914,478997.0,6199116.0,33.6,32.8,0.0,0.000000,1970.190,285.9000,1464.660,371.9900,1104.440,503.2000,805.1400,365.5100,572.5400,297.5200,358.2300,163.2400
1,31003,924,478996.9,6199149.5,33.8,31.7,0.0,0.000000,2097.760,342.2600,1558.700,401.1100,1164.480,539.3800,841.9100,389.9100,593.2499,312.5200,375.8300,173.4500
1,31003,934,478997.1,6199183.0,34.1,30.5,0.0,0.000000,2206.570,377.0400,1633.870,432.5000,1215.940,565.7200,879.1400,409.0500,618.6600,329.2300,391.2700,180.5800
1,31003,944,478997.4,6199215.5,33.9,30.0,0.0,0.000000,2296.510,390.7000,1694.940,460.0000,1251.820,586.4200,912.1899,422.4600,639.0099,342.5600,400.3200,185.9600
1,31003,954,478997.5,6199248.5,33.1,31.1,0.0,0.000000,2217.570,344.8400,1637.130,443.1400,1219.110,549.5800,907.5800,404.5700,638.6700,336.9600,395.3600,177.7200
1,31003,964,478997.1,6199281.5,32.1,32.2,0.0,0.000000,2097.810,279.9600,1573.380,391.1500,1206.030,508.4400,910.5600,393.6900,641.1200,334.7900,391.8100,164.6500
1,31003,974,478996.3,6199314.5,30.8,33.2,0.0,0.000000,2075.930,229.5200,1593.370,357.0000,1246.450,506.5900,943.0999,407.8600,655.7799,346.6200,407.4500,169.6800
1,31003,984,478995.1,6199348.0,29.9,34.1,0.0,0.000000,2032.430,169.7300,1582.390,325.3500,1263.590,495.6200,955.1799,410.8500,663.7899,351.3100,410.4100,164.6600
1,31003,994,478993.7,6199382.0,29.4,34.5,0.0,0.000000,1967.630,149.0700,1550.120,316.8000,1242.960,476.4399,947.2299,397.5600,663.2000,346.9000,412.7300,163.2300
1,31003,1004,478992.3,6199416.0,29.0,34.8,0.0,0.000000,1954.100,139.0700,1531.230,318.3600,1221.410,459.8800,946.0599,386.8200,666.0900,343.9800,405.2800,156.3300
1,31003,1014,478991.4,6199450.0,28.8,35.1,0.0,0.000000,1896.690,152.6000,1476.300,321.0800,1177.720,436.3300,926.7499,366.8500,658.9599,333.6200,397.3100,148.0000
1,31003,1024,478991.3,6199484.0,29.4,34.2,0.0,0.000000,1905.390,169.9800,1475.200,335.0900,1166.210,436.0800,922.0199,361.0600,657.3099,331.3800,403.0100,150.2500
1,31003,1034,478991.6,6199517.0,30.4,32.0,0.0,0.000000,2093.960,239.8300,1580.410,392.0900,1227.880,471.6800,974.2699,385.0600,692.2700,351.0200,415.3500,157.3500
1,31003,1044,478992.7,6199550.5,31.1,30.1,0.0,0.000000,2326.350,314.2200,1714.550,470.1000,1299.940,527.9600,1024.270,416.4700,726.9899,374.3000,432.3600,169.4000
1,31003,1054,478994.2,6199584.0,31.3,30.0,0.0,0.000000,2439.280,315.9900,1812.190,496.5500,1338.730,578.1300,1033.650,437.5000,731.7499,381.3700,440.3699,182.6400
