LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31063,1724,479902.2,6201617.0,34.2,29.8,0.0,0.000000,2109.468,405.5601,1756.319,451.2448,1284.288,498.1541,859.5056,379.8766,601.4879,311.4899,393.0093,165.7371
1,31063,1734,479902.4,6201647.0,32.8,31.4,0.0,0.000000,2118.202,374.4269,1788.144,439.4970,1316.346,495.0046,880.4166,398.4278,602.3292,330.8561,405.5028,168.7901
1,31063,1744,479902.7,6201677.0,31.6,33.3,0.0,0.000000,2009.600,309.6173,1737.707,396.2818,1279.371,476.2233,863.5098,382.9579,593.1855,320.0842,395.1955,161.2956
1,31063,1754,479902.6,6201708.0,31.2,35.0,0.0,0.000000,1865.580,250.5457,1657.940,343.8643,1216.786,463.9164,814.5045,356.1879,571.2465,297.2935,372.0071,154.7048
1,31063,1764,479901.9,6201740.0,31.9,35.9,0.0,0.000000,1708.960,242.4815,1503.501,309.1627,1140.585,403.8161,765.7539,339.6924,526.7728,277.5206,353.0945,141.6185
1,31063,1774,479900.7,6201772.5,34.0,34.5,0.0,0.000000,1580.725,252.9509,1380.391,284.3703,1072.027,365.9416,716.8409,315.0931,498.8514,247.3323,332.0551,131.8017
1,31063,1784,479899.4,6201804.5,36.3,31.3,0.0,0.000000,1640.845,295.1937,1415.880,300.8279,1084.489,382.7081,733.8038,319.1708,508.8292,261.6068,336.1666,133.1877
1,31063,1794,479897.7,6201836.0,36.0,31.5,0.0,0.000000,1817.784,330.0215,1540.165,341.2122,1193.199,425.3205,782.9083,363.1510,530.8920,284.0373,366.1195,152.0692
1,31063,1804,479895.8,6201867.0,34.5,33.5,0.0,0.000000,1838.207,311.8696,1586.989,331.1587,1239.108,445.8305,782.5540,387.2079,524.0475,295.5860,375.6613,164.3531
1,31063,1814,479894.1,6201898.5,33.6,34.7,0.0,0.000000,1811.181,276.7174,1578.895,319.4434,1236.805,442.8375,771.0236,394.6045,508.2398,294.4423,374.6618,165.9690
