LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11240,3956,729545.2,7170090.5,556.4,93.2,0.0,54822.80,201222.4,125669.2,78174.64,49046.33,30419.16,19091.25,11892.78,6095.463,1852.065,0.000000
1,11240,3960,729543.2,7170140.5,557.1,92.6,0.0,54833.07,196923.0,122900.6,75957.89,44719.91,25478.49,15490.92,9143.447,4170.274,1116.652,0.000000
1,11240,3964,729540.9,7170190.5,557.0,92.3,0.0,54835.85,182647.0,116353.0,72385.05,40143.85,20637.92,11358.36,6842.143,3692.055,1216.639,0.000000
1,11240,3968,729538.1,7170240.5,555.7,92.6,0.0,54831.82,184431.1,119807.4,73733.16,39300.87,17994.55,8596.978,4836.236,2561.512,878.8952,0.000000
1,11240,3972,729535.3,7170288.0,555.0,91.9,0.0,54820.10,204337.3,139255.9,86629.90,45068.09,19418.27,8203.057,4003.500,1987.844,695.8964,0.000000
1,11240,3976,729532.8,7170336.0,554.8,91.9,0.0,54803.58,252668.6,192628.0,124580.8,62281.48,23655.36,7641.353,2865.959,1388.920,527.6313,0.000000
1,11240,3980,729530.7,7170384.0,555.1,92.7,0.0,54787.88,294228.8,241122.8,160322.4,77876.30,27238.63,7821.703,2500.469,963.4279,287.9622,0.000000
1,11240,3984,729529.0,7170434.0,556.2,93.5,0.0,54776.35,312358.2,264421.2,179569.4,87649.95,30051.56,8068.959,2203.122,700.9614,181.5911,0.000000
1,11240,3988,729527.8,7170484.0,556.9,94.1,0.0,54775.92,306087.6,258869.8,177352.5,88004.89,30637.90,8195.687,2124.048,621.6653,150.8231,0.000000
1,11240,3992,729526.8,7170532.5,556.6,94.0,0.0,54783.45,292090.7,244565.4,168272.7,84980.77,30286.20,8220.644,2098.971,590.2358,138.4124,0.000000
1,11240,3996,729526.0,7170580.5,555.9,94.2,0.0,54788.07,290272.8,242403.2,166333.7,83801.40,29814.06,8074.097,2046.428,567.5244,131.4021,0.000000
1,11240,4000,729525.2,7170628.5,554.9,94.5,0.0,54783.77,290144.1,242265.5,166113.8,83598.48,29706.45,8035.481,2033.753,563.0134,130.1577,0.000000
1,11240,4004,729524.5,7170676.5,554.0,94.6,0.0,54771.25,290866.5,243454.5,168021.9,85341.12,30617.31,8333.331,2108.686,582.6588,134.8315,0.000000
1,11240,4008,729523.6,7170724.5,553.9,94.6,0.0,54763.95,290967.4,244792.0,170998.7,88340.59,32233.04,8859.430,2234.469,612.0781,140.9867,0.000000
1,11240,4012,729522.6,7170774.0,554.1,94.9,0.0,54763.25,288785.6,243569.4,171997.2,90415.79,33627.12,9371.271,2371.507,648.7115,149.8706,0.000000
1,11240,4016,729521.6,7170824.0,554.3,95.9,0.0,54765.15,285171.2,239266.2,170050.0,90873.48,34625.57,9894.183,2545.604,702.9179,163.9047,0.000000
1,11240,4020,729520.8,7170872.5,554.5,96.9,0.0,54768.15,281007.1,233428.0,166541.9,90518.02,35427.55,10429.65,2746.326,770.4812,182.1699,0.000000
1,11240,4024,729520.3,7170920.5,554.7,97.7,0.0,54768.85,271661.1,220941.2,158116.6,88218.48,35906.57,10998.54,2963.810,835.3344,197.7954,0.000000
1,11240,4028,729519.9,7170968.5,554.9,98.6,0.0,54765.68,259687.4,206379.9,147795.7,84695.94,35863.10,11405.82,3109.709,855.2799,196.5347,0.000000
1,11240,4032,729519.6,7171016.5,554.9,99.6,0.0,54760.98,258718.4,204222.1,145991.7,84576.61,36441.88,11764.09,3181.583,837.3702,183.3068,0.000000
1,11240,4036,729519.1,7171064.5,554.8,100.1,0.0,54756.12,266327.7,214159.1,153081.6,88025.15,37716.22,12139.21,3240.804,820.9224,171.5443,0.000000
1,11240,4040,729518.6,7171114.5,554.3,100.7,0.0,54752.95,266709.8,215735.5,154961.6,89473.40,38477.13,12418.90,3322.679,845.5073,177.7997,0.000000
1,11240,4044,729518.1,7171164.5,553.7,101.7,0.0,54751.92,262194.4,211316.9,151387.3,87277.24,37534.66,12166.35,3315.912,878.5364,193.0982,0.000000
1,11240,4048,729517.9,7171214.5,554.0,102.2,0.0,54756.52,255528.1,204092.8,146281.1,85154.61,37142.22,12223.94,3388.515,917.2784,205.9056,0.000000
1,11240,4052,729518.4,7171262.5,554.5,101.8,0.0,54769.48,255728.6,205780.0,151075.6,91851.17,42142.54,14402.40,3959.692,996.7027,205.2821,0.000000
1,11240,4056,729520.0,7171310.5,553.5,102.2,0.0,54794.65,258916.5,212416.4,161088.5,103181.0,50372.17,18095.38,4973.161,1143.680,204.6750,0.000000
1,11240,4060,729522.6,7171360.5,552.0,102.8,0.0,54832.00,260130.4,215857.1,166046.5,108397.9,54099.56,19773.12,5414.812,1185.322,193.3684,0.000000
1,11240,4064,729525.9,7171410.5,552.3,103.4,0.0,54867.98,259166.6,215825.9,166743.1,109362.4,54840.40,20087.08,5457.660,1157.086,177.6212,0.000000
1,11240,4068,729529.4,7171460.5,553.4,103.6,0.0,54895.73,249563.5,210436.1,166548.9,110890.4,55845.67,20200.38,5273.983,1029.378,138.2657,0.000000
1,11250,361,734932.4,7173389.5,566.6,98.2,0.0,54789.20,249055.5,183145.2,105832.3,44688.68,14291.97,4250.180,1535.324,607.2180,173.5261,0.000000
1,11250,365,734929.8,7173335.0,566.2,98.7,0.0,54794.42,234238.2,167305.2,95595.98,40451.62,13098.73,3911.746,1365.733,512.6076,140.3899,0.000000
1,11250,369,734927.4,7173281.0,565.3,99.1,0.0,54798.83,213347.2,147161.4,84968.67,37088.13,12380.76,3638.457,1149.701,383.2479,96.19439,0.000000
1,11250,373,734925.2,7173227.0,565.9,98.1,0.0,54804.62,204553.4,129975.6,72795.24,31694.28,10723.46,3224.440,1025.651,336.1280,82.63053,0.000000
1,11250,377,734923.8,7173172.0,566.9,96.6,0.0,54812.02,206350.1,127448.0,68249.76,28401.52,9381.853,2882.743,969.0480,331.8439,83.65079,0.000000
1,11250,381,734923.0,7173115.5,567.3,94.6,0.0,54816.85,216115.9,136943.5,69169.72,26653.88,8399.063,2625.594,935.5620,335.0544,86.58757,0.000000
1,11250,385,734922.7,7173059.5,567.5,91.9,0.0,54811.98,227361.1,145673.0,69007.40,24122.54,7141.305,2400.627,995.2145,400.8216,111.4374,0.000000
1,11250,389,734922.8,7173003.5,567.3,88.6,0.0,54802.30,217040.7,133190.0,59807.14,20032.31,5991.566,2185.444,968.5011,401.0133,113.1055,0.000000
1,11250,393,734922.9,7172947.5,567.6,87.5,0.0,54800.02,183998.1,105050.8,46075.04,15703.02,5049.976,1999.602,913.4707,378.9659,106.5947,0.000000
1,11250,397,734923.2,7172891.5,568.4,88.7,0.0,54799.90,173500.6,91060.40,40734.51,14597.19,4879.603,1907.108,837.6812,336.1193,92.27254,0.000000
1,11250,401,734923.6,7172835.5,568.7,89.1,0.0,54795.93,181117.7,100874.7,45498.98,16036.04,5069.903,1803.916,730.1490,277.8574,73.52024,0.000000
1,11250,405,734924.1,7172779.5,568.6,89.3,0.0,54793.17,194686.1,110328.3,50249.62,17671.51,5322.662,1680.384,597.3259,207.0952,51.63258,0.000000
1,11250,409,734924.6,7172723.5,568.9,90.3,0.0,54791.48,210669.8,120875.6,53761.79,18313.12,5292.766,1578.161,530.0486,176.2948,42.79981,0.000000
1,11250,413,734925.1,7172668.5,569.4,91.6,0.0,54787.98,227462.6,136021.0,59844.80,19643.34,5393.984,1534.999,501.8057,164.6753,39.68882,0.000000
1,11250,417,734925.4,7172614.5,570.4,93.2,0.0,54779.62,252271.7,157987.8,69875.77,22201.35,5793.732,1611.891,539.1514,182.5489,45.04396,0.000000
1,11250,421,734925.6,7172559.5,571.3,94.7,0.0,54771.40,277777.2,182744.1,83530.73,26646.35,6722.742,1744.350,549.8398,180.6433,43.96851,0.000000
1,11250,425,734925.6,7172503.5,572.1,95.8,0.0,54767.50,287735.9,202323.5,100634.5,34388.25,8686.031,1946.164,474.3369,126.1496,26.91132,0.000000
1,11250,429,734925.4,7172447.5,572.2,95.7,0.0,54765.80,291574.0,213719.3,113126.2,41133.80,10666.49,2204.694,420.5318,81.31005,13.45877,0.000000
1,11250,433,734925.1,7172391.5,571.8,94.8,0.0,54766.47,281445.0,208517.4,114129.7,43436.19,11728.75,2453.554,449.1834,79.05394,11.78444,0.000000
1,11250,437,734924.8,7172335.5,572.9,94.2,0.0,54769.27,263048.6,194852.3,109071.9,43108.05,12198.58,2725.750,559.3450,116.6506,20.56882,0.000000
1,11250,441,734924.8,7172279.5,574.6,93.3,0.0,54774.30,256115.5,189412.1,106671.1,42757.12,12522.12,3110.419,813.0372,230.5945,51.85994,0.000000
1,11250,445,734925.0,7172224.0,573.9,93.3,0.0,54779.73,256645.1,189967.4,107205.7,43210.00,12995.39,3617.597,1207.790,439.2353,117.2939,0.000000
1,11250,449,734925.2,7172170.0,573.5,94.6,0.0,54784.30,254745.7,191713.6,111410.0,46454.15,14480.70,4348.570,1709.347,740.6060,225.9549,0.000000
1,11250,453,734925.5,7172115.5,576.5,95.7,0.0,54788.17,239046.1,180984.1,108732.5,47451.25,15394.23,4826.583,2127.525,1075.573,377.4744,0.000000
1,11250,457,734926.1,7172059.0,579.2,95.8,0.0,54792.35,212663.4,137798.1,84921.02,42916.98,16684.64,5792.355,2462.231,1212.500,428.6114,0.000000
1,11250,461,734926.8,7172003.0,580.1,93.9,0.0,54790.10,188324.0,110741.1,62549.34,31514.98,13038.07,5063.849,2337.207,1147.650,393.5536,0.000000
1,11250,465,734927.6,7171947.0,579.8,94.1,0.0,54791.75,154277.0,96512.27,53790.22,22936.05,7250.604,1743.359,336.5229,54.95470,6.912253,0.000000
1,11250,469,734928.0,7171891.0,578.6,94.2,0.0,54797.38,147276.2,78063.29,45503.41,24376.97,10649.33,4294.774,1900.563,837.2737,256.4622,0.000000
1,11250,473,734928.1,7171835.0,577.5,95.8,0.0,54802.82,133753.5,82812.23,57658.12,41259.25,29447.78,21442.28,15301.86,9550.939,3909.523,0.000000
