LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11250,425,734925.6,7172503.5,572.1,95.8,0.0,54767.50,267062.5,191403.0,104914.2,39033.75,9395.000,1687.000,466.7500,137.7500,61.00000,1.000000
1,11250,429,734925.4,7172447.5,572.2,95.7,0.0,54765.80,270775.2,201612.0,117040.5,46767.00,11461.50,1903.500,446.7500,84.25000,-34.00000,1.000000
1,11250,433,734925.1,7172391.5,571.8,94.8,0.0,54766.47,264972.8,197513.5,116961.2,48685.25,12554.00,2159.000,469.7500,61.00000,-75.75000,1.000000
1,11250,437,734924.8,7172335.5,572.9,94.2,0.0,54769.27,245509.2,180403.0,107330.8,45945.25,12747.75,2477.250,586.2500,112.7500,-42.50000,1.000000
1,11250,441,734924.8,7172279.5,574.6,93.3,0.0,54774.30,236141.0,172717.8,102139.2,43675.50,12788.75,2924.500,808.0000,227.5000,35.75000,1.000000
1,11250,445,734925.0,7172224.0,573.9,93.3,0.0,54779.73,249602.8,185060.2,108306.8,44869.75,13350.00,3579.250,1126.750,401.0000,133.5000,1.000000
1,11250,449,734925.2,7172170.0,573.5,94.6,0.0,54784.30,259674.5,193240.8,112613.5,46177.75,14416.50,4480.000,1613.250,678.7500,246.7500,1.000000
1,11250,453,734925.5,7172115.5,576.5,95.7,0.0,54788.17,247383.2,178156.5,101722.5,43074.50,15135.25,5497.500,2255.250,1038.750,382.7500,25.78689
1,11250,457,734926.1,7172059.0,579.2,95.8,0.0,54792.35,219720.5,143740.0,81150.00,37215.25,15236.75,6220.500,2762.000,1355.500,516.2500,116.7587
1,11250,461,734926.8,7172003.0,580.1,93.9,0.0,54790.10,188061.0,111490.8,62773.75,30281.00,13435.50,5357.000,2157.000,1078.500,422.5000,109.4792
1,11250,465,734927.6,7171947.0,579.8,94.1,0.0,54791.75,161221.2,92585.75,49621.00,22989.25,9161.500,2652.500,272.2500,-57.00000,-63.75000,1.000000
1,11250,469,734928.0,7171891.0,578.6,94.2,0.0,54797.38,144976.2,81912.50,44720.75,22702.25,10708.75,4735.500,1891.750,752.7500,282.2500,1.000000
1,11250,473,734928.1,7171835.0,577.5,95.8,0.0,54802.82,135060.0,80858.75,58731.50,41093.50,29737.50,21467.25,14725.25,9027.750,4406.500,1087.422
1,11250,477,734927.9,7171780.5,576.6,97.7,0.0,54808.08,126691.2,83026.50,77622.75,64096.75,53121.50,42523.00,31839.50,21104.75,11095.75,5264.562
1,11250,481,734928.1,7171726.5,576.4,98.8,0.0,54814.25,120608.5,79722.00,76889.25,67613.75,58500.75,48691.25,38080.00,26550.25,14825.50,6898.541
1,11250,485,734928.5,7171670.5,576.8,97.4,0.0,54822.12,121297.8,73889.50,62946.50,56067.50,49630.25,42588.00,34724.75,25578.25,15430.00,7819.162
1,11250,489,734929.2,7171614.5,578.3,96.9,0.0,54831.38,130701.5,74728.00,54427.75,45946.50,40744.75,35549.50,29870.75,23038.00,14836.50,8337.629
1,11250,493,734930.2,7171558.5,580.0,96.7,0.0,54840.93,142668.8,86229.50,60352.50,47846.75,40864.00,34676.50,28377.25,21373.50,13596.50,7490.417
1,11250,497,734931.3,7171502.5,581.6,96.4,0.0,54849.65,144390.8,95626.50,70106.00,55074.50,45605.50,37295.50,29049.00,20501.50,11690.50,5652.000
1,11250,501,734932.5,7171446.5,582.7,95.9,0.0,54859.90,136583.2,91822.25,67414.75,52794.50,42689.75,34414.00,26249.50,17942.75,9169.750,4958.344
1,11250,505,734933.6,7171390.5,583.1,95.5,0.0,54872.48,130866.0,82805.25,56468.00,41204.50,31511.50,24848.50,18605.00,12527.00,6314.000,3094.433
1,11250,509,734934.6,7171334.5,582.5,95.7,0.0,54884.95,129812.8,74607.50,48669.25,31415.25,22470.50,16787.00,12105.50,8029.250,4145.000,1729.939
1,11250,513,734935.2,7171278.5,581.4,94.9,0.0,54898.20,128726.2,68015.75,42740.75,27058.25,18295.50,13153.75,9224.000,6253.250,3217.500,1343.778
1,11250,517,734935.6,7171222.0,581.0,93.1,0.0,54912.35,123559.0,64819.00,37307.75,23292.25,15172.75,10641.00,7498.000,5240.500,2729.250,1196.375
1,11250,521,734935.7,7171165.5,580.7,91.7,0.0,54926.07,118397.2,66565.50,33688.25,18915.75,11720.25,7955.750,5628.000,3945.750,2153.250,1077.790
1,11250,525,734935.4,7171108.0,580.4,91.7,0.0,54934.02,128206.8,72404.25,33810.00,15380.50,8558.000,5502.250,3793.000,2501.500,1299.750,636.7328
1,11250,529,734934.8,7171050.0,580.4,91.9,0.0,54935.25,147997.8,82481.00,36827.25,13754.75,6361.250,3731.750,2462.500,1470.750,635.5000,42.30207
1,11250,533,734933.6,7170994.0,581.0,92.4,0.0,54939.65,166024.0,93362.00,41004.25,14167.25,5258.750,2633.250,1718.250,1081.000,458.0000,1.000000
1,11250,537,734931.7,7170938.0,580.2,93.1,0.0,54950.23,179918.2,103374.2,45712.75,15982.25,4870.750,1942.500,1261.000,888.5000,422.0000,1.000000
1,11250,541,734929.3,7170882.0,578.8,94.0,0.0,54963.35,185770.2,108358.0,49653.25,18011.75,5024.250,1716.250,1018.750,748.2500,392.5000,1.000000
1,11250,545,734926.9,7170826.0,578.8,94.2,0.0,54973.43,181516.8,104918.2,50903.50,19495.50,5337.250,1664.250,882.5000,623.7500,357.5000,1.000000
1,11250,549,734924.6,7170770.0,578.8,93.9,0.0,54977.37,176545.2,100522.5,52087.25,20565.00,5546.250,1567.750,760.5000,469.0000,290.0000,1.000000
1,11250,553,734923.1,7170714.0,577.0,91.4,0.0,54977.45,183835.5,109142.5,57401.50,21669.75,5608.750,1395.750,629.0000,248.7500,158.7500,1.000000
1,11250,557,734922.2,7170655.5,575.8,91.2,0.0,54977.40,199751.0,126639.8,64257.75,22781.75,5607.000,1208.250,515.2500,67.25000,4.250000,1.000000
1,11250,561,734922.1,7170597.5,576.1,91.1,0.0,54980.00,208278.2,133340.2,66853.50,23269.25,5578.750,1117.000,440.7500,79.00000,-43.50000,1.000000
1,11250,565,734922.4,7170541.0,576.1,90.4,0.0,54985.08,205439.5,130955.0,65615.00,22853.25,5576.500,1152.000,385.2500,166.2500,4.000000,1.000000
