 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3818 729517.75 7168398.5 560.2626748377121 100.72604515893225 0.0 54857.13 234418.0 180077.0 125306.0 72337.0 30077.0 8230.0 1358.0 193.0 32.0 0.0 266386.0 232495.0 190617.0 135022.0 74409.0 28209.0 6696.0 952.0 37.0 0.0
 1 11240 3819 729517.75 7168410.5 560.3926640849592 100.73063037812696 0.0 54851.84 234666.0 180148.0 125494.0 71854.0 29364.0 7896.0 1299.0 214.0 42.0 0.0 266439.0 232673.0 190707.0 134871.0 74099.0 27971.0 6618.0 953.0 36.0 0.0
 1 11240 3820 729517.81 7168422.5 560.5318078045756 100.71719850802394 0.0 54847.13 234843.0 180127.0 125572.0 71336.0 28625.0 7552.0 1236.0 233.0 53.0 0.0 266555.0 232872.0 190662.0 134496.0 73602.0 27656.0 6535.0 956.0 36.0 0.0
 1 11240 3821 729517.88 7168434.5 560.6671216843075 100.67376706136642 0.0 54843.06 234953.0 180030.0 125532.0 70781.0 27873.0 7202.0 1168.0 249.0 64.0 0.0 266719.0 233096.0 190501.0 133925.0 72927.0 27262.0 6448.0 960.0 36.0 0.0
 1 11240 3822 729517.94 7168447.5 560.794715017684 100.60693518285007 0.0 54839.59 235008.0 179856.0 125346.0 70161.0 27111.0 6851.0 1094.0 262.0 76.0 0.0 266919.0 233348.0 190253.0 133200.0 72097.0 26798.0 6357.0 966.0 37.0 0.0
 1 11240 3823 729517.94 7168460.0 560.8846342883485 100.53724011257648 0.0 54837.13 235025.0 179588.0 124971.0 69431.0 26338.0 6501.0 1013.0 271.0 87.0 0.0 267145.0 233627.0 189950.0 132369.0 71145.0 26275.0 6263.0 974.0 38.0 0.0
 1 11240 3824 729517.94 7168472.5 560.9275000752986 100.48797459603523 0.0 54835.4 235016.0 179204.0 124357.0 68545.0 25548.0 6155.0 926.0 278.0 98.0 0.0 267387.0 233930.0 189617.0 131474.0 70107.0 25713.0 6166.0 983.0 41.0 0.0
 1 11240 3825 729517.94 7168485.0 560.9178397329918 100.47388715572315 0.0 54834.59 234990.0 178693.0 123466.0 67468.0 24735.0 5813.0 837.0 284.0 109.0 0.0 267638.0 234244.0 189269.0 130544.0 69017.0 25125.0 6064.0 993.0 45.0 0.0
 1 11240 3826 729517.94 7168497.5 560.8666529401451 100.49516967662593 0.0 54834.7 234950.0 178062.0 122292.0 66190.0 23899.0 5476.0 752.0 291.0 121.0 0.0 267891.0 234546.0 188907.0 129590.0 67899.0 24525.0 5958.0 1004.0 49.0 0.0
 1 11240 3827 729517.88 7168510.0 560.7818396146765 100.53833422424724 0.0 54835.59 234896.0 177329.0 120863.0 64730.0 23038.0 5145.0 676.0 300.0 134.0 0.0 268142.0 234805.0 188514.0 128609.0 66765.0 23918.0 5846.0 1016.0 55.0 0.0
