LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,520,478996.9,6197783.5,26.3,32.8,0.0,0.00,29.93,41.88,124.70,364.37,832.39,209.95
31003,527,478997.2,6197808.5,25.6,32.3,0.0,0.00,29.44,42.71,133.80,392.22,881.76,222.35
31003,534,478997.6,6197833.5,24.6,32.5,0.0,0.00,35.11,49.09,153.19,445.35,953.42,251.56
31003,541,478998.0,6197859.0,24.0,33.2,0.0,0.00,41.44,55.67,176.47,490.84,1016.19,287.29
31003,548,478998.1,6197885.0,23.6,34.6,0.0,0.00,52.14,64.49,204.11,533.87,1079.56,334.08
31003,555,478997.9,6197910.5,23.6,34.9,0.0,0.00,48.20,66.28,208.42,532.10,1073.77,348.65
31003,562,478997.4,6197935.5,23.9,34.5,0.0,0.00,48.01,68.12,209.88,534.37,1069.54,337.59
31003,569,478996.7,6197960.5,24.4,34.5,0.0,0.00,50.72,68.72,209.99,546.81,1087.29,330.11
31003,576,478995.8,6197985.0,25.3,33.6,0.0,0.00,31.58,49.58,156.14,445.80,956.90,255.94
31003,583,478994.9,6198009.5,27.0,32.4,0.0,0.00,22.90,38.21,123.19,367.88,851.55,212.97
31003,590,478994.3,6198034.0,27.6,32.5,0.0,0.00,24.38,37.76,117.22,357.08,826.20,204.26
31003,597,478994.0,6198058.5,28.2,32.4,0.0,0.00,27.02,39.39,115.81,349.08,803.21,201.37
31003,604,478994.2,6198084.0,28.9,32.0,0.0,0.00,28.65,43.86,119.66,340.08,775.71,196.21
31003,611,478994.7,6198109.5,29.6,32.0,0.0,0.00,30.71,50.90,132.43,340.26,752.49,206.42
31003,618,478995.5,6198135.0,30.0,31.4,0.0,0.00,34.75,61.34,153.07,348.01,742.14,221.52
31003,625,478996.5,6198160.5,30.3,31.0,0.0,0.00,39.98,73.34,179.32,361.23,742.89,239.63
31003,632,478997.5,6198186.5,30.8,30.3,0.0,0.00,36.31,73.25,183.48,350.51,716.95,239.17
31003,639,478998.4,6198211.5,31.3,29.7,0.0,0.00,31.65,67.83,176.03,333.63,685.59,237.70
31003,646,478999.1,6198236.0,31.8,29.4,0.0,0.00,30.66,64.39,172.23,324.95,665.16,239.31
31003,653,478999.4,6198259.5,32.1,29.0,0.0,0.00,31.03,63.41,172.32,321.56,654.72,239.74
31003,660,478999.5,6198282.5,32.1,29.1,0.0,0.00,34.32,66.38,179.45,328.70,661.75,242.64
31003,667,478999.4,6198304.5,32.1,29.3,0.0,0.00,33.76,63.34,170.89,322.37,652.36,235.66
31003,674,478999.3,6198326.5,32.1,29.8,0.0,0.00,35.38,62.95,166.40,319.64,654.53,224.56
31003,681,478999.1,6198348.0,31.9,30.4,0.0,0.00,37.69,63.78,163.57,320.12,660.43,218.76
31003,688,478998.9,6198369.5,31.6,30.6,0.0,0.00,38.12,62.50,154.60,314.10,659.49,210.89
31003,695,478998.6,6198392.0,31.4,31.1,0.0,0.00,40.15,63.26,150.27,313.87,664.19,206.48
31003,702,478998.3,6198415.0,31.3,31.4,0.0,0.00,40.86,62.51,144.43,307.62,658.88,198.90
31003,709,478998.2,6198438.5,31.5,30.7,0.0,0.00,36.48,57.63,132.51,287.40,630.30,185.68
31003,716,478998.0,6198462.5,32.0,29.8,0.0,0.00,33.67,55.66,128.22,278.34,620.33,178.07
31003,723,478997.7,6198487.0,32.1,29.2,0.0,0.00,29.46,52.75,125.80,274.29,611.58,172.23
31003,730,478997.4,6198511.5,32.4,28.7,0.0,0.00,25.71,48.66,122.59,267.42,597.90,171.92
31003,737,478997.2,6198536.0,32.3,28.9,0.0,0.00,25.72,50.48,129.88,274.83,604.62,183.31
31003,744,478997.0,6198560.0,31.9,29.8,0.0,0.00,28.39,54.64,144.61,295.98,629.29,204.04
31003,751,478996.8,6198583.5,31.5,30.7,0.0,0.00,31.58,59.51,159.66,316.98,657.17,224.80
31003,758,478996.3,6198607.0,31.3,31.6,0.0,0.00,34.47,61.68,172.60,332.21,673.78,240.13
31003,765,478995.6,6198629.5,31.4,31.8,0.0,0.00,32.18,59.62,170.12,329.93,668.72,241.65
31003,772,478994.9,6198651.5,31.8,31.7,0.0,0.00,30.23,56.28,161.99,323.57,659.38,227.79
31003,779,478994.1,6198673.5,32.4,31.0,0.0,0.00,25.54,48.97,146.57,306.21,630.12,203.67
31003,786,478993.4,6198695.5,33.1,30.3,0.0,0.00,24.95,45.29,136.50,292.25,612.33,193.22
31003,793,478993.0,6198718.0,33.7,29.8,0.0,0.00,24.30,42.26,126.99,277.80,593.62,185.19
31003,800,478993.2,6198741.0,34.5,29.5,0.0,0.00,22.54,38.60,114.36,258.60,568.69,167.29
31003,807,478993.7,6198764.0,35.3,28.8,0.0,0.00,18.77,33.59,97.49,232.58,533.33,145.63
31003,814,478994.7,6198787.5,36.1,28.1,0.0,0.00,16.02,29.49,85.61,212.74,506.40,132.32
31003,821,478995.9,6198811.0,36.4,27.9,0.0,0.00,14.48,26.77,78.93,202.05,490.35,120.62
31003,828,478997.3,6198834.5,36.1,28.8,0.0,0.00,14.95,27.28,79.71,205.15,500.76,120.52
