Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,375.0,164.1,740329.81,7172346.00,960.19,2.98,1.04,0.02
1,375.0,120.9,740329.81,7172346.00,967.82,2.99,1.03,0.01
1,425.0,586.6,740329.81,7172396.00,496.68,2.70,2.01,0.30
1,425.0,576.6,740329.81,7172396.00,498.78,2.70,2.00,0.30
1,425.0,566.6,740329.81,7172396.00,502.87,2.70,1.99,0.30
1,425.0,556.6,740329.81,7172396.00,508.81,2.71,1.97,0.29
1,425.0,546.6,740329.81,7172396.00,516.42,2.71,1.94,0.29
1,425.0,534.1,740329.81,7172396.00,530.67,2.72,1.88,0.28
1,425.0,516.6,740329.81,7172396.00,553.67,2.74,1.81,0.26
1,425.0,496.0,740329.81,7172396.00,582.78,2.77,1.72,0.23
1,425.0,474.2,740329.81,7172396.00,617.83,2.79,1.62,0.21
1,425.0,451.0,740329.81,7172396.00,657.71,2.82,1.52,0.18
1,425.0,426.5,740329.81,7172396.00,700.80,2.85,1.43,0.15
1,425.0,400.5,740329.81,7172396.00,745.07,2.87,1.34,0.13
1,425.0,372.9,740329.81,7172396.00,788.37,2.90,1.27,0.10
1,425.0,343.7,740329.81,7172396.00,828.76,2.92,1.21,0.08
1,425.0,312.7,740329.81,7172396.00,864.79,2.94,1.16,0.06
1,425.0,279.1,740329.81,7172396.00,897.01,2.95,1.11,0.05
1,425.0,242.8,740329.81,7172396.00,923.10,2.97,1.08,0.03
1,425.0,204.4,740329.81,7172396.00,943.17,2.97,1.06,0.03
1,425.0,163.8,740329.81,7172396.00,957.40,2.98,1.04,0.02
1,425.0,120.8,740329.81,7172396.00,965.56,2.98,1.04,0.02
1,475.0,586.3,740329.81,7172446.00,518.29,2.71,1.93,0.29
1,475.0,576.3,740329.81,7172446.00,520.00,2.72,1.92,0.28
1,475.0,566.3,740329.81,7172446.00,523.41,2.72,1.91,0.28
1,475.0,556.3,740329.81,7172446.00,528.43,2.72,1.89,0.28
1,475.0,546.3,740329.81,7172446.00,534.93,2.73,1.87,0.27
1,475.0,533.8,740329.81,7172446.00,547.24,2.74,1.83,0.26
1,475.0,516.3,740329.81,7172446.00,567.33,2.75,1.76,0.25
1,475.0,495.7,740329.81,7172446.00,593.09,2.77,1.69,0.23
1,475.0,473.8,740329.81,7172446.00,624.52,2.80,1.60,0.20
1,475.0,450.7,740329.81,7172446.00,660.77,2.82,1.51,0.18
1,475.0,426.2,740329.81,7172446.00,700.58,2.85,1.43,0.15
1,475.0,400.2,740329.81,7172446.00,742.20,2.87,1.35,0.13
1,475.0,372.6,740329.81,7172446.00,783.73,2.89,1.28,0.11
1,475.0,343.4,740329.81,7172446.00,823.26,2.92,1.21,0.08
1,475.0,312.4,740329.81,7172446.00,859.24,2.93,1.16,0.07
1,475.0,278.8,740329.81,7172446.00,891.91,2.95,1.12,0.05
1,475.0,242.6,740329.81,7172446.00,918.80,2.96,1.09,0.04
1,475.0,204.2,740329.81,7172446.00,939.73,2.97,1.06,0.03
1,475.0,163.7,740329.81,7172446.00,954.71,2.98,1.05,0.02
1,475.0,120.8,740329.81,7172446.00,963.35,2.98,1.04,0.02
1,525.0,586.3,740329.81,7172496.00,557.94,2.75,1.79,0.25
1,525.0,576.3,740329.81,7172496.00,559.04,2.75,1.79,0.25
1,525.0,566.3,740329.81,7172496.00,561.34,2.75,1.78,0.25
1,525.0,556.3,740329.81,7172496.00,564.89,2.75,1.77,0.25
1,525.0,546.3,740329.81,7172496.00,569.65,2.76,1.76,0.24
1,525.0,533.8,740329.81,7172496.00,578.91,2.76,1.73,0.24
1,525.0,516.3,740329.81,7172496.00,594.51,2.77,1.68,0.23
1,525.0,495.7,740329.81,7172496.00,615.20,2.79,1.63,0.21
1,525.0,473.9,740329.81,7172496.00,641.18,2.81,1.56,0.19
1,525.0,450.7,740329.81,7172496.00,672.00,2.83,1.49,0.17
1,525.0,426.2,740329.81,7172496.00,706.78,2.85,1.41,0.15
1,525.0,400.2,740329.81,7172496.00,744.19,2.87,1.34,0.13
1,525.0,372.6,740329.81,7172496.00,782.58,2.89,1.28,0.11
1,525.0,343.4,740329.81,7172496.00,820.18,2.91,1.22,0.09
1,525.0,312.4,740329.81,7172496.00,855.26,2.93,1.17,0.07
1,525.0,278.9,740329.81,7172496.00,887.80,2.95,1.13,0.05
