 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11260 4122 740330.0 7172361.5 591.2533345214736 87.05443716188938 0.0 54916.38 192893.0 104047.0 48192.0 16146.0 3649.0 726.0 24.0 41.0 166.0 0.0 149642.0 93458.0 55559.0 29374.0 13130.0 4850.0 2175.0 1369.0 558.0 0.0
 1 11260 4123 740330.0 7172374.0 590.8581373760348 87.22428854482864 0.0 54912.7 204211.0 115101.0 54834.0 18967.0 4454.0 914.0 60.0 49.0 162.0 0.0 144158.0 87889.0 52013.0 27833.0 12639.0 4779.0 2193.0 1374.0 566.0 0.0
 1 11260 4124 740330.06 7172386.5 590.6915494311587 87.22073197882649 0.0 54909.31 216357.0 126954.0 61955.0 22010.0 5339.0 1115.0 99.0 60.0 159.0 0.0 141502.0 84994.0 50042.0 26911.0 12289.0 4717.0 2209.0 1373.0 576.0 0.0
 1 11260 4125 740330.06 7172399.0 590.6848347149088 87.10576020446108 0.0 54906.05 228510.0 138723.0 69045.0 25092.0 6250.0 1317.0 139.0 71.0 156.0 0.0 141912.0 84929.0 49749.0 26678.0 12117.0 4671.0 2224.0 1365.0 586.0 0.0
 1 11260 4126 740330.13 7172411.5 590.7945402351781 86.93858968961517 0.0 54902.82 239853.0 149464.0 75551.0 28000.0 7124.0 1507.0 178.0 84.0 153.0 0.0 145209.0 87469.0 51015.0 27130.0 12143.0 4655.0 2238.0 1351.0 596.0 0.0
 1 11260 4127 740330.19 7172424.0 590.9772590944428 86.77363719466068 0.0 54899.8 249759.0 158381.0 80991.0 30536.0 7905.0 1677.0 217.0 97.0 149.0 0.0 150841.0 92079.0 53540.0 28189.0 12368.0 4677.0 2254.0 1332.0 606.0 0.0
 1 11260 4128 740330.25 7172436.5 591.1896769551454 86.65114060061806 0.0 54897.08 257919.0 165016.0 85071.0 32557.0 8550.0 1821.0 253.0 110.0 146.0 0.0 158044.0 98050.0 56919.0 29721.0 12771.0 4744.0 2272.0 1309.0 614.0 0.0
 1 11260 4129 740330.31 7172449.0 591.3885703589932 86.58553295149184 0.0 54894.35 264336.0 169334.0 87741.0 34003.0 9043.0 1938.0 287.0 122.0 143.0 0.0 166030.0 104653.0 60747.0 31566.0 13318.0 4858.0 2293.0 1285.0 620.0 0.0
 1 11260 4130 740330.38 7172461.5 591.5306526945013 86.56288545222034 0.0 54891.89 269231.0 171675.0 89177.0 34909.0 9391.0 2032.0 319.0 134.0 141.0 0.0 174138.0 111270.0 64691.0 33568.0 13966.0 5013.0 2319.0 1264.0 624.0 0.0
 1 11260 4131 740330.44 7172474.0 591.5732731594569 86.55051357901225 0.0 54889.55 272899.0 172595.0 89697.0 35378.0 9620.0 2106.0 348.0 145.0 139.0 0.0 181895.0 117477.0 68537.0 35604.0 14673.0 5199.0 2350.0 1247.0 626.0 0.0
