Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,775,478994.5,6198661.0,32.1,31.4,0.0,0.0,2270.809,279.8364,1759.118,328.8727,1524.654,565.4818,1062.673,535.7000,693.7272,409.0727,487.7181,213.4273
1,1,786,478993.4,6198695.5,33.1,30.3,0.0,0.0,2394.891,404.2182,1779.827,380.4545,1536.909,575.3636,1079.873,546.0545,703.3363,414.4364,491.4091,213.9909
1,1,797,478993.1,6198731.0,34.1,29.6,0.0,0.0,2480.936,527.7818,1777.291,434.1545,1507.173,584.9636,1065.100,536.2818,697.6272,409.5364,487.4000,214.0182
1,1,808,478993.8,6198767.5,35.4,28.6,0.0,0.0,2461.718,631.8818,1713.754,470.4636,1415.218,573.9000,1013.509,493.4454,679.2000,386.7000,458.4636,201.6091
1,1,819,478995.5,6198804.5,36.4,27.9,0.0,0.0,2402.218,674.1909,1631.973,484.1909,1328.164,548.3364,970.5455,451.6272,665.4363,365.0636,433.7000,190.1182
1,1,830,478997.7,6198841.0,35.9,29.4,0.0,0.0,2184.909,588.1636,1498.882,432.7182,1226.055,490.8727,909.9909,407.6545,633.9908,337.8000,400.1454,168.9364
1,1,841,478999.8,6198877.5,34.6,32.4,0.0,0.0,1851.936,395.9546,1328.273,331.6818,1102.509,422.5909,819.0454,356.9091,576.5363,299.1454,374.6454,152.0818
1,1,852,479001.3,6198912.5,33.4,34.2,0.0,0.0,1732.373,277.2909,1289.500,290.8454,1075.918,411.6182,793.4545,347.9545,560.5455,287.1364,354.4091,144.0727
1,1,863,479001.8,6198947.5,32.4,35.7,0.0,0.0,1677.809,203.7636,1262.073,267.2727,1038.191,406.2909,766.8273,334.4000,543.7090,275.8364,336.6182,139.2545
1,1,874,479001.0,6198982.5,32.4,35.9,0.0,0.0,1641.282,199.0727,1243.136,271.3364,997.7909,403.9182,739.0727,319.0454,530.0727,263.7454,323.9182,135.7182
1,1,885,478999.7,6199018.0,32.5,35.3,0.0,0.0,1698.636,208.1636,1286.782,292.1091,1005.682,424.2545,746.3363,324.0909,535.6182,267.0363,326.0727,140.2091
1,1,896,478998.4,6199055.0,32.8,34.6,0.0,0.0,1761.364,225.9091,1327.064,314.1182,1017.491,441.7636,754.6181,328.6909,543.1182,270.3273,331.2545,145.2091
1,1,907,478997.4,6199092.0,33.2,33.6,0.0,0.0,1854.945,263.2818,1393.991,342.3000,1058.445,472.0000,777.4454,345.7727,557.4818,284.3636,343.7454,152.5636
1,1,918,478996.9,6199129.5,33.7,32.3,0.0,0.0,2043.118,309.0000,1515.282,388.5364,1137.209,523.9454,824.4818,379.2363,583.5273,305.9272,366.7090,168.7636
1,1,929,478997.0,6199166.5,34.0,31.0,0.0,0.0,2154.982,364.6727,1596.918,418.5818,1190.200,552.1545,860.5727,399.3363,606.2545,320.3909,385.5273,178.0000
1,1,940,478997.3,6199202.5,34.0,30.1,0.0,0.0,2275.582,387.3636,1682.827,451.4727,1245.909,583.4727,903.6272,420.6909,633.1363,339.8818,396.8727,183.4909
1,1,951,478997.5,6199238.5,33.4,30.7,0.0,0.0,2253.364,362.4000,1661.645,453.1818,1231.064,563.4636,911.4181,410.8636,640.7819,339.5727,399.0363,182.9091
1,1,962,478997.2,6199275.0,32.3,32.1,0.0,0.0,2106.646,289.3546,1575.209,397.0000,1203.145,511.3818,907.2091,393.1727,639.0181,333.6454,390.3091,164.6182
1,1,973,478996.4,6199311.0,31.0,33.2,0.0,0.0,2077.173,232.1363,1592.536,359.2091,1244.509,506.6454,941.6364,407.1364,655.2727,346.1545,406.7909,169.5727
1,1,984,478995.1,6199348.0,29.8,34.1,0.0,0.0,2029.255,168.3727,1580.264,324.7455,1262.545,494.4000,954.6909,410.1182,663.7272,351.1364,410.6545,164.6636
1,1,995,478993.5,6199385.5,29.3,34.6,0.0,0.0,1962.491,146.6727,1547.536,316.7000,1239.982,474.2545,946.9091,395.9818,663.5999,346.3909,411.9818,162.4091
1,1,1006,478992.1,6199423.0,28.9,34.8,0.0,0.0,1948.282,141.4454,1520.918,319.0182,1212.854,454.4545,943.7272,382.7636,665.8454,341.9636,402.9727,154.0182
1,1,1017,478991.3,6199460.0,29.0,35.0,0.0,0.0,1879.691,155.7727,1462.764,323.3545,1164.727,431.5636,918.8364,361.2364,654.7363,330.6818,397.2909,147.4000
1,1,1028,478991.3,6199497.0,29.8,33.2,0.0,0.0,1975.136,197.2273,1514.745,355.9818,1189.854,449.6545,942.2454,369.9363,670.5363,338.7182,408.7818,153.4727
1,1,1039,478992.0,6199534.0,30.8,30.9,0.0,0.0,2220.591,283.6727,1651.682,435.2000,1267.172,499.6636,1003.891,401.7455,713.0727,364.0455,424.0454,163.0091
1,1,1050,478993.5,6199570.5,31.4,29.8,0.0,0.0,2428.155,324.2818,1793.673,496.8000,1333.318,565.8181,1037.291,433.3363,734.9273,382.0090,440.1909,179.2182
1,1,1061,478995.4,6199607.5,31.2,30.6,0.0,0.0,2385.182,301.5545,1797.309,475.5454,1326.709,585.6182,1007.427,436.6636,712.5363,373.2818,433.0727,183.5545
1,1,1072,478996.8,6199644.5,31.0,31.5,0.0,0.0,2327.727,294.6182,1754.982,453.8636,1296.445,580.0001,971.7181,428.4182,687.2272,360.1637,419.6545,181.3636
1,1,1083,478997.3,6199681.0,31.3,31.8,0.0,0.0,2306.764,320.6818,1713.554,456.6273,1262.573,570.8636,946.2454,418.1273,669.8727,349.0363,407.1727,178.4454
1,1,1094,478996.9,6199717.5,32.0,31.0,0.0,0.0,2315.109,343.0273,1711.091,462.6000,1256.991,573.0273,941.6181,415.3364,668.6818,347.3182,404.7636,178.3273
1,1,1105,478995.6,6199754.0,32.4,30.3,0.0,0.0,2383.600,353.4273,1770.682,476.5546,1297.009,597.9181,966.2637,430.6909,684.1091,357.9363,415.1545,185.5818
1,1,1116,478994.0,6199791.0,31.7,30.1,0.0,0.0,2534.800,344.8636,1896.509,503.1545,1385.282,650.4454,1020.227,463.9182,719.8455,383.8364,442.7454,202.9273
1,1,1127,478992.8,6199828.5,30.6,30.2,0.0,0.0,2706.409,309.9636,2044.800,547.2000,1475.027,701.8999,1083.300,496.4636,760.1454,412.4091,473.5000,219.1000
1,1,1138,478992.1,6199865.5,30.0,29.8,0.0,0.0,2940.582,315.9182,2215.963,613.4272,1561.391,762.5635,1146.182,530.3909,801.7454,442.4727,501.9545,236.1909
1,1,1149,478992.6,6199902.5,29.9,29.2,0.0,0.0,3148.327,318.8364,2356.709,672.6727,1626.118,817.2000,1191.145,557.3909,830.5999,464.0454,521.4545,249.4545
1,1,1160,478994.0,6199939.0,30.1,28.9,0.0,0.0,3222.536,313.8727,2408.646,700.9182,1649.282,829.5454,1219.909,564.9091,849.3091,476.6909,526.1182,248.2909
1,1,1171,478995.6,6199975.5,30.0,29.7,0.0,0.0,3085.772,308.4273,2282.254,689.2181,1571.873,763.1909,1196.018,529.4818,838.0000,462.0273,508.6091,228.5000
1,1,1182,478996.4,6200011.5,29.9,31.1,0.0,0.0,2661.291,268.1818,1928.045,596.9908,1372.300,603.4273,1092.736,440.9363,777.7181,409.3455,456.8181,184.1818
1,1,1193,478996.2,6200047.5,29.8,31.9,0.0,0.0,2388.900,294.0091,1663.518,522.3000,1248.300,484.3636,1036.500,382.3091,746.2546,376.8636,427.0182,154.4636
1,1,1204,478995.0,6200084.0,29.6,31.6,0.0,0.0,2309.709,368.6182,1542.927,495.9182,1220.027,425.8636,1043.954,363.8273,751.2635,373.5727,423.8727,137.6727
1,1,1215,478993.2,6200121.5,30.3,29.7,0.0,0.0,2335.445,458.2363,1507.282,482.3727,1251.082,396.0273,1086.282,364.8727,780.2636,388.4818,441.2545,136.0091
1,1,1226,478991.6,6200159.5,29.5,29.8,0.0,0.0,2401.809,473.7182,1557.854,477.0545,1322.009,403.3091,1144.845,387.8000,814.8727,414.0818,468.3091,139.1273
1,1,1237,478990.5,6200198.5,27.3,31.5,0.0,0.0,2450.218,371.6909,1626.209,490.3454,1358.264,428.6454,1157.873,406.1727,818.6818,424.6090,483.4636,151.1182
1,1,1248,478990.6,6200237.0,26.5,31.6,0.0,0.0,2535.773,332.0454,1716.000,501.3273,1417.036,461.3182,1185.745,430.1091,833.8818,438.5818,502.9727,161.5455
1,1,1259,478992.3,6200274.5,26.2,30.7,0.0,0.0,2686.946,346.1545,1834.409,522.2000,1524.237,496.1545,1266.245,468.0545,882.2454,472.9909,529.1364,173.1636
1,1,1270,478994.9,6200311.0,25.9,30.7,0.0,0.0,2642.600,346.7455,1832.163,486.2363,1552.182,487.5455,1290.364,473.6818,899.1909,481.4818,534.9818,169.7909
1,1,1281,478997.5,6200347.5,25.4,31.8,0.0,0.0,2505.691,311.0091,1765.536,438.9909,1505.873,466.9727,1249.136,457.8909,873.7090,462.5273,519.5454,166.4273
1,1,1292,478998.9,6200384.5,25.1,32.9,0.0,0.0,2366.091,254.3000,1681.054,413.3636,1433.218,447.1636,1188.482,437.1182,830.9818,436.7182,496.9909,162.1909
1,1,1303,478999.1,6200422.0,25.0,33.3,0.0,0.0,2266.655,254.5636,1601.364,393.2909,1373.273,421.6273,1142.245,415.3909,804.1454,415.5545,470.7909,148.8273
1,1,1314,478998.0,6200460.5,25.3,33.0,0.0,0.0,2255.118,290.6818,1553.373,401.1272,1338.027,406.6727,1122.655,400.4091,794.1455,405.9909,460.7545,143.6545
1,1,1325,478996.4,6200499.5,25.8,31.8,0.0,0.0,2341.791,357.8727,1565.573,435.9363,1342.773,417.3727,1128.973,398.6545,805.8909,409.9818,464.5818,145.4636
1,1,1336,478994.9,6200539.0,26.6,30.5,0.0,0.0,2445.673,461.3182,1602.709,476.0909,1356.600,433.2364,1141.364,401.2727,817.5091,415.6909,470.5818,149.1364
1,1,1347,478993.7,6200578.5,27.6,29.8,0.0,0.0,2246.436,528.2545,1489.036,427.8455,1289.973,387.9000,1101.873,368.7818,800.6727,396.7364,456.7181,136.5818
1,1,1358,478993.2,6200618.0,28.7,28.7,0.0,0.0,2121.391,549.9545,1414.454,381.8545,1258.909,352.5909,1087.745,350.6727,794.9273,390.0273,449.4818,127.9818
1,1,1369,478993.7,6200657.0,28.1,29.9,0.0,0.0,2241.445,537.6454,1442.200,429.5091,1249.736,368.9727,1082.555,353.1091,790.3000,388.5091,441.3454,128.6182
1,1,1380,478995.0,6200695.5,27.3,31.3,0.0,0.0,2322.664,437.9000,1458.682,486.3727,1206.964,389.1273,1037.027,345.7364,761.0273,372.7182,426.3909,129.2909
1,1,1391,478996.6,6200734.0,26.9,32.0,0.0,0.0,2349.691,396.7272,1469.818,512.6091,1188.418,398.4909,1020.964,342.8182,750.3000,365.8909,417.6636,130.5636
1,1,1402,478998.0,6200772.0,27.0,31.8,0.0,0.0,2360.982,449.9000,1454.391,512.0546,1192.573,390.4273,1033.964,342.6727,757.8000,369.1727,416.5636,128.2182
1,1,1413,478999.1,6200810.0,27.4,31.1,0.0,0.0,2329.636,514.3272,1428.900,490.1909,1204.527,374.1364,1051.100,342.2091,768.3272,375.2818,420.3727,123.5636
1,1,1424,478999.5,6200849.0,27.3,31.5,0.0,0.0,2307.373,490.4000,1411.191,478.0454,1200.236,367.5091,1049.591,341.8182,765.1910,374.4182,419.5545,123.2727
1,1,1435,478999.3,6200888.5,27.0,33.0,0.0,0.0,2140.436,404.4091,1344.618,431.6545,1152.145,341.8181,1008.391,324.0818,736.0909,357.8909,405.1364,115.3727
1,1,1446,478998.7,6200928.0,27.2,33.0,0.0,0.0,2002.027,348.0818,1297.354,387.2000,1119.936,321.2455,978.8000,310.9091,717.1727,347.3091,399.1091,112.2545
1,1,1457,478998.1,6200967.5,27.1,33.4,0.0,0.0,1939.900,290.8364,1306.891,355.2909,1131.545,317.4909,988.5454,314.0727,720.3272,350.0909,398.3818,110.4909
