 East  ,  RL  ,  Delpar	 
    1225.0,     340.1,     -0.02
    1225.0,     310.8,     -0.02
    1225.0,     279.9,     -0.03
    1225.0,     247.0,     -0.02
    1225.0,     212.2,     -0.02
    1225.0,     174.7,     -0.02
    1225.0,     134.4,     -0.01
    1225.0,      91.7,     -0.01
    1225.0,      46.6,     -0.01
    1225.0,      -1.2,     -0.01
    1275.0,     553.3,      0.04
    1275.0,     543.3,      0.04
    1275.0,     533.3,      0.04
    1275.0,     523.3,      0.04
    1275.0,     513.3,      0.06
    1275.0,     500.8,      0.09
    1275.0,     483.3,     -0.06
    1275.0,     462.7,     -0.21
    1275.0,     440.9,     -0.06
    1275.0,     417.8,      0.27
    1275.0,     393.2,      0.12
    1275.0,     367.2,      0.04
    1275.0,     339.7,     -0.00
    1275.0,     310.4,     -0.01
    1275.0,     279.5,     -0.02
    1275.0,     246.6,     -0.02
    1275.0,     211.8,     -0.02
    1275.0,     174.4,     -0.01
    1275.0,     134.1,     -0.01
    1275.0,      91.5,     -0.01
    1275.0,      46.4,     -0.01
    1275.0,      -1.3,     -0.01
    1325.0,     553.0,     -0.11
    1325.0,     543.0,     -0.10
    1325.0,     533.0,     -0.09
    1325.0,     523.0,     -0.10
    1325.0,     513.0,     -0.12
    1325.0,     500.5,     -0.17
    1325.0,     483.0,     -0.23
    1325.0,     462.4,     -0.23
    1325.0,     440.6,     -0.14
    1325.0,     417.4,     -0.02
    1325.0,     392.9,      0.01
    1325.0,     366.9,      0.01
    1325.0,     339.3,     -0.00
    1325.0,     310.1,     -0.01
    1325.0,     279.1,     -0.01
    1325.0,     246.3,     -0.01
    1325.0,     211.5,     -0.01
    1325.0,     174.0,     -0.01
    1325.0,     133.9,     -0.01
    1325.0,      91.3,     -0.01
    1325.0,      46.3,     -0.00
    1325.0,      -1.3,     -0.00
    1375.0,     552.7,     -0.18
    1375.0,     542.7,     -0.08
    1375.0,     532.7,      0.06
    1375.0,     522.7,      0.12
    1375.0,     512.7,      0.09
    1375.0,     500.2,      0.01
    1375.0,     482.7,     -0.11
    1375.0,     462.1,     -0.17
    1375.0,     440.2,     -0.15
    1375.0,     417.1,     -0.09
    1375.0,     392.5,     -0.03
    1375.0,     366.5,     -0.02
    1375.0,     339.0,     -0.02
    1375.0,     309.8,     -0.02
    1375.0,     278.8,     -0.02
    1375.0,     246.0,     -0.01
    1375.0,     211.1,     -0.01
    1375.0,     173.8,     -0.01
    1375.0,     133.6,     -0.00
    1375.0,      91.2,     -0.00
    1375.0,      46.2,     -0.00
    1375.0,      -1.3,     -0.00
    1425.0,     552.4,     -0.37
    1425.0,     542.4,     -0.36
    1425.0,     532.4,     -0.30
    1425.0,     522.4,     -0.16
    1425.0,     512.4,      0.02
    1425.0,     499.9,      0.21
    1425.0,     482.4,      0.14
    1425.0,     461.8,      0.02
    1425.0,     440.0,     -0.03
    1425.0,     416.8,     -0.03
    1425.0,     392.3,     -0.02
    1425.0,     366.3,     -0.04
    1425.0,     338.7,     -0.07
    1425.0,     309.5,     -0.05
    1425.0,     278.5,     -0.02
    1425.0,     245.7,     -0.01
    1425.0,     210.9,     -0.00
    1425.0,     173.5,     -0.00
    1425.0,     133.5,     -0.00
    1425.0,      91.1,     -0.00
    1425.0,      46.2,     -0.00
    1425.0,      -1.4,     -0.00
    1475.0,     552.4,     -0.07
    1475.0,     542.4,     -0.23
    1475.0,     532.4,     -0.29
    1475.0,     522.4,     -0.26
    1475.0,     512.4,     -0.19
    1475.0,     499.9,     -0.09
    1475.0,     482.4,      0.00
    1475.0,     461.8,      0.07
    1475.0,     440.0,      0.10
    1475.0,     416.9,      0.12
    1475.0,     392.3,      0.10
    1475.0,     366.3,      0.03
    1475.0,     338.7,     -0.07
    1475.0,     309.5,     -0.07
    1475.0,     278.5,     -0.02
    1475.0,     245.7,      0.00
    1475.0,     210.9,      0.00
    1475.0,     173.5,     -0.00
    1475.0,     133.5,     -0.00
    1475.0,      91.1,     -0.00
    1475.0,      46.2,     -0.00
    1475.0,      -1.4,     -0.00
    1525.0,     552.8,      0.10
    1525.0,     542.8,      0.00
    1525.0,     532.8,     -0.03
    1525.0,     522.8,     -0.03
    1525.0,     512.8,     -0.02
    1525.0,     500.3,      0.01
    1525.0,     482.8,      0.04
    1525.0,     462.2,      0.07
    1525.0,     440.3,      0.11
    1525.0,     417.2,      0.14
    1525.0,     392.7,      0.16
    1525.0,     366.7,      0.13
    1525.0,     339.1,      0.04
    1525.0,     309.9,     -0.02
    1525.0,     278.9,      0.02
    1525.0,     246.1,      0.02
    1525.0,     211.3,      0.00
    1525.0,     173.9,     -0.00
    1525.0,     133.7,     -0.00
    1525.0,      91.2,     -0.00
    1525.0,      46.3,     -0.00
    1525.0,      -1.3,     -0.00
    1575.0,     553.3,      0.16
    1575.0,     543.3,      0.12
    1575.0,     533.3,      0.07
    1575.0,     523.3,      0.04
    1575.0,     513.3,      0.02
    1575.0,     500.8,     -0.00
    1575.0,     483.3,      0.00
    1575.0,     462.7,      0.02
    1575.0,     440.9,      0.05
    1575.0,     417.7,      0.08
    1575.0,     393.2,      0.11
    1575.0,     367.2,      0.14
    1575.0,     339.6,      0.20
    1575.0,     310.4,      0.20
    1575.0,     279.4,      0.11
    1575.0,     246.6,      0.04
    1575.0,     211.8,      0.00
    1575.0,     174.3,     -0.01
    1575.0,     134.1,     -0.01
    1575.0,      91.5,     -0.01
    1575.0,      46.4,     -0.00
    1575.0,      -1.3,     -0.00
    1625.0,     553.6,      0.17
    1625.0,     543.6,      0.13
    1625.0,     533.6,      0.08
    1625.0,     523.6,      0.04
    1625.0,     513.6,      0.01
    1625.0,     501.1,     -0.02
    1625.0,     483.6,     -0.02
    1625.0,     463.0,     -0.01
    1625.0,     441.2,      0.00
    1625.0,     418.1,      0.02
    1625.0,     393.5,      0.04
    1625.0,     367.5,      0.07
    1625.0,     339.9,      0.12
    1625.0,     310.7,      0.17
    1625.0,     279.8,      0.10
    1625.0,     246.9,      0.01
    1625.0,     212.1,     -0.03
    1625.0,     174.6,     -0.03
    1625.0,     134.3,     -0.02
    1625.0,      91.7,     -0.01
    1625.0,      46.5,     -0.00
    1625.0,      -1.2,     -0.00
    1675.0,     553.5,      0.15
    1675.0,     543.5,      0.10
    1675.0,     533.5,      0.01
    1675.0,     523.5,     -0.05
    1675.0,     513.5,     -0.08
    1675.0,     501.0,     -0.09
    1675.0,     483.5,     -0.04
    1675.0,     462.9,     -0.02
    1675.0,     441.0,     -0.03
    1675.0,     417.9,     -0.03
    1675.0,     393.4,     -0.02
    1675.0,     367.3,     -0.01
    1675.0,     339.8,      0.00
    1675.0,     310.6,     -0.01
    1675.0,     279.6,     -0.06
    1675.0,     246.7,     -0.10
    1675.0,     211.9,     -0.09
    1675.0,     174.5,     -0.06
    1675.0,     134.2,     -0.03
    1675.0,      91.6,     -0.01
    1675.0,      46.5,     -0.01
    1675.0,      -1.3,     -0.00
    1725.0,     552.9,     -0.31
    1725.0,     542.9,     -0.31
    1725.0,     532.9,     -0.32
    1725.0,     522.9,     -0.32
    1725.0,     512.9,     -0.29
    1725.0,     500.4,     -0.20
    1725.0,     482.9,     -0.01
    1725.0,     462.3,     -0.00
    1725.0,     440.4,     -0.05
    1725.0,     417.3,     -0.07
    1725.0,     392.8,     -0.07
    1725.0,     366.7,     -0.07
    1725.0,     339.2,     -0.09
    1725.0,     310.0,     -0.14
    1725.0,     279.0,     -0.20
    1725.0,     246.1,     -0.20
    1725.0,     211.3,     -0.14
    1725.0,     173.9,     -0.08
    1725.0,     133.8,     -0.04
    1725.0,      91.3,     -0.02
    1725.0,      46.3,     -0.01
    1725.0,      -1.3,     -0.00
    1775.0,     552.3,     -0.29
    1775.0,     542.3,     -0.32
    1775.0,     532.3,     -0.35
    1775.0,     522.3,     -0.38
    1775.0,     512.3,     -0.40
    1775.0,     499.8,     -0.40
    1775.0,     482.3,     -0.35
    1775.0,     461.7,     -0.26
    1775.0,     439.8,     -0.13
    1775.0,     416.7,     -0.11
    1775.0,     392.2,     -0.10
    1775.0,     366.1,     -0.10
    1775.0,     338.6,     -0.11
    1775.0,     309.4,     -0.15
    1775.0,     278.4,     -0.20
    1775.0,     245.6,     -0.20
    1775.0,     210.7,     -0.14
    1775.0,     173.4,     -0.08
    1775.0,     133.4,     -0.04
    1775.0,      91.0,     -0.02
    1775.0,      46.1,     -0.01
    1775.0,      -1.4,     -0.00
    1825.0,     552.0,      0.10
    1825.0,     542.0,     -0.10
    1825.0,     532.0,     -0.33
    1825.0,     522.0,     -0.49
    1825.0,     512.0,     -0.61
    1825.0,     499.5,     -0.75
    1825.0,     482.0,     -0.62
    1825.0,     461.4,      0.17
    1825.0,     439.6,      0.00
    1825.0,     416.4,     -0.11
    1825.0,     391.9,     -0.12
    1825.0,     365.9,     -0.08
    1825.0,     338.3,     -0.05
    1825.0,     309.1,     -0.04
    1825.0,     278.1,     -0.08
    1825.0,     245.3,     -0.11
    1825.0,     210.5,     -0.10
    1825.0,     173.1,     -0.06
    1825.0,     133.2,     -0.04
    1825.0,      90.8,     -0.02
    1825.0,      46.0,     -0.01
    1825.0,      -1.4,     -0.00
    1875.0,     552.0,     -0.03
    1875.0,     542.0,      0.00
    1875.0,     532.0,      0.13
    1875.0,     522.0,      0.25
    1875.0,     512.0,      0.05
    1875.0,     499.5,     -0.18
    1875.0,     482.0,      1.00
    1875.0,     461.4,      0.45
    1875.0,     439.6,      0.14
    1875.0,     416.4,     -0.02
    1875.0,     391.9,     -0.04
    1875.0,     365.9,      0.01
    1875.0,     338.3,      0.08
    1875.0,     309.1,      0.16
    1875.0,     278.1,      0.11
    1875.0,     245.3,      0.00
    1875.0,     210.5,     -0.04
    1875.0,     173.1,     -0.04
    1875.0,     133.2,     -0.03
    1875.0,      90.8,     -0.02
    1875.0,      46.0,     -0.01
    1875.0,      -1.4,     -0.01
    1925.0,     552.1,      0.11
    1925.0,     542.1,      0.12
    1925.0,     532.1,      0.12
    1925.0,     522.1,      0.11
    1925.0,     512.1,      0.08
    1925.0,     499.6,      0.07
    1925.0,     482.1,      0.24
    1925.0,     461.5,      0.17
    1925.0,     439.6,      0.05
    1925.0,     416.5,     -0.04
    1925.0,     391.9,     -0.07
    1925.0,     365.9,     -0.05
    1925.0,     338.4,      0.08
    1925.0,     309.1,      0.34
    1925.0,     278.2,      0.26
    1925.0,     245.3,      0.06
    1925.0,     210.5,     -0.02
    1925.0,     173.2,     -0.04
    1925.0,     133.2,     -0.03
