LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppRes1_Ch01,AppRes1_Ch02,AppRes1_Ch03,AppRes1_Ch04,AppRes1_Ch05,AppRes1_Ch06,AppRes1_Ch07,AppRes1_Ch08,AppRes1_Ch09,AppRes1_Ch10
11240,3908,729542.6,7169499.5,557.1,99.2,0.0,54797.39,91.59,76.88,55.23,36.91,23.50,14.73,9.30,5.90,3.26,-1.00
11240,3912,729544.3,7169549.5,557.7,98.1,0.0,54793.45,100.97,86.06,61.83,39.83,24.44,15.05,9.57,6.16,3.47,-1.00
11240,3916,729545.6,7169599.5,558.3,96.6,0.0,54789.38,108.81,96.49,70.01,45.10,27.29,16.74,10.77,7.02,4.01,-1.00
11240,3920,729546.2,7169647.5,559.2,95.2,0.0,54785.38,110.70,101.88,78.64,53.92,33.74,20.89,13.21,8.23,4.31,-1.00
11240,3924,729546.7,7169695.5,559.0,94.2,0.0,54781.93,107.29,101.79,87.03,66.33,44.50,27.69,15.97,8.55,3.99,-1.00
11240,3928,729546.9,7169745.5,557.6,93.4,0.0,54779.27,103.92,97.87,89.51,72.06,49.52,30.18,15.77,7.67,3.49,-1.00
11240,3932,729547.1,7169795.5,556.8,92.7,0.0,54776.05,101.37,88.81,75.79,56.16,37.15,22.78,12.62,6.68,3.18,-1.00
11240,3936,729547.4,7169845.5,556.9,92.9,0.0,54773.44,97.91,79.68,61.12,40.95,25.92,16.12,9.90,5.91,3.00,-1.00
11240,3940,729547.6,7169895.5,557.0,92.9,0.0,54775.58,95.52,79.23,58.01,37.74,23.37,14.45,9.05,5.61,2.99,-1.00
11240,3944,729547.8,7169945.5,557.3,92.8,0.0,54786.38,94.08,83.95,62.85,41.82,26.18,16.21,10.10,6.17,3.43,-1.00
11240,3948,729547.5,7169994.5,557.2,93.1,0.0,54795.39,91.23,86.23,68.20,48.38,31.76,20.50,13.33,8.55,5.22,-1.00
11240,3952,729546.6,7170042.5,556.6,93.5,0.0,54807.57,87.40,84.31,69.80,52.78,37.91,26.34,18.62,13.57,9.54,-1.00
11240,3956,729545.2,7170090.5,556.4,93.2,0.0,54822.82,84.65,85.16,69.51,55.41,43.49,32.01,23.72,18.16,13.22,-1.00
11240,3960,729543.2,7170140.5,557.1,92.6,0.0,54833.08,91.78,91.56,74.21,61.18,50.68,39.14,28.88,21.05,13.40,-1.00
11240,3964,729540.9,7170190.5,557.0,92.3,0.0,54835.87,109.51,97.45,81.05,70.10,60.09,48.00,35.90,24.74,13.99,-1.00
11240,3968,729538.1,7170240.5,555.7,92.6,0.0,54831.84,110.17,87.77,77.58,75.00,68.84,58.18,44.95,30.71,17.21,-1.00
11240,3972,729535.3,7170288.0,555.0,91.9,0.0,54820.12,84.52,64.81,59.61,64.98,70.66,68.61,56.96,41.73,24.79,-1.00
11240,3976,729532.8,7170336.0,554.8,91.9,0.0,54803.58,51.06,40.60,38.70,45.06,60.23,73.77,71.48,58.32,38.61,-1.00
11240,3980,729530.7,7170384.0,555.1,92.6,0.0,54787.86,27.48,25.14,25.95,32.24,47.89,72.12,85.00,79.67,57.42,-1.00
11240,3984,729529.0,7170434.0,556.2,93.5,0.0,54776.33,17.74,18.82,21.12,27.36,41.38,68.81,95.99,100.93,77.57,-1.00
11240,3988,729527.8,7170484.0,556.9,94.1,0.0,54775.93,21.22,20.05,21.49,26.84,39.50,66.63,100.53,108.43,89.51,-1.00
11240,3992,729526.8,7170532.5,556.6,94.0,0.0,54783.43,29.41,24.28,23.53,27.84,39.88,66.67,102.46,109.12,98.58,-1.00
11240,3996,729526.0,7170580.5,555.9,94.3,0.0,54788.06,30.46,25.26,23.96,28.00,40.34,67.91,104.74,109.16,104.66,-1.00
11240,4000,729525.2,7170628.5,554.9,94.5,0.0,54783.76,28.50,24.56,23.51,27.64,40.46,68.42,105.43,109.24,105.41,-1.00
11240,4004,729524.5,7170676.5,554.0,94.5,0.0,54771.24,27.33,23.73,23.03,27.31,40.25,66.38,100.15,109.23,102.18,-1.00
11240,4008,729523.6,7170724.5,553.9,94.7,0.0,54763.93,26.54,22.87,22.63,27.28,39.68,62.63,92.35,108.86,97.56,-1.00
11240,4012,729522.6,7170774.0,554.1,95.0,0.0,54763.27,24.68,21.79,22.41,27.41,38.87,58.59,85.64,107.12,91.54,-1.00
11240,4016,729521.6,7170824.0,554.3,95.9,0.0,54765.15,20.13,20.10,22.03,27.42,37.86,54.69,79.55,103.25,83.39,-1.00
11240,4020,729520.8,7170872.5,554.5,96.9,0.0,54768.16,17.93,19.62,22.54,27.96,37.23,51.01,73.87,97.23,76.43,-1.00
11240,4024,729520.3,7170920.5,554.7,97.7,0.0,54768.84,19.98,22.01,24.91,29.38,37.06,47.95,68.67,91.63,72.89,-1.00
11240,4028,729519.9,7170968.5,554.9,98.6,0.0,54765.69,24.45,25.43,27.14,30.94,36.93,46.14,64.83,89.93,73.40,-1.00
