 East  ,  RL  ,  Delpar	 
    1050.0,      19.4,      0.01
    1050.0,      16.4,      0.04
    1050.0,      13.4,      0.06
    1050.0,      10.4,      0.07
    1050.0,       7.4,      0.07
    1050.0,       4.4,      0.06
    1050.0,       1.4,      0.06
    1050.0,      -1.6,      0.05
    1050.0,      -4.6,      0.04
    1050.0,      -7.6,      0.03
    1050.0,     -10.6,      0.02
    1050.0,     -13.6,      0.01
    1050.0,     -16.6,      0.01
    1050.0,     -19.6,      0.00
    1050.0,     -22.6,      0.00
    1050.0,     -26.3,     -0.00
    1050.0,     -30.6,     -0.01
    1050.0,     -35.0,     -0.01
    1050.0,     -39.3,     -0.01
    1050.0,     -43.7,     -0.01
    1050.0,     -48.0,     -0.01
    1050.0,     -52.4,     -0.01
    1050.0,     -56.7,     -0.01
    1050.0,     -61.1,     -0.01
    1050.0,     -65.5,     -0.01
    1150.0,      34.6,      0.40
    1150.0,      31.6,      0.58
    1150.0,      28.6,      0.50
    1150.0,      25.6,      0.21
    1150.0,      22.6,      0.05
    1150.0,      19.6,      0.04
    1150.0,      16.6,      0.05
    1150.0,      13.6,      0.07
    1150.0,      10.6,      0.07
    1150.0,       7.6,      0.07
    1150.0,       4.6,      0.06
    1150.0,       1.6,      0.06
    1150.0,      -1.4,      0.05
    1150.0,      -4.4,      0.04
    1150.0,      -7.4,      0.03
    1150.0,     -10.4,      0.02
    1150.0,     -13.4,      0.02
    1150.0,     -16.4,      0.01
    1150.0,     -19.4,      0.01
    1150.0,     -22.4,      0.00
    1150.0,     -26.1,     -0.00
    1150.0,     -30.4,     -0.00
    1150.0,     -34.8,     -0.01
    1150.0,     -39.2,     -0.01
    1150.0,     -43.6,     -0.01
    1150.0,     -47.9,     -0.01
    1150.0,     -52.3,     -0.01
    1150.0,     -56.7,     -0.01
    1150.0,     -61.1,     -0.01
    1150.0,     -65.4,     -0.01
    1250.0,      34.6,      0.35
    1250.0,      31.6,      0.54
    1250.0,      28.6,      0.54
    1250.0,      25.6,      0.31
    1250.0,      22.6,      0.14
    1250.0,      19.6,      0.09
    1250.0,      16.6,      0.08
    1250.0,      13.6,      0.09
    1250.0,      10.6,      0.08
    1250.0,       7.6,      0.08
    1250.0,       4.6,      0.07
    1250.0,       1.6,      0.06
    1250.0,      -1.4,      0.05
    1250.0,      -4.4,      0.04
    1250.0,      -7.4,      0.03
    1250.0,     -10.4,      0.02
    1250.0,     -13.4,      0.02
    1250.0,     -16.4,      0.01
    1250.0,     -19.4,      0.01
    1250.0,     -22.4,      0.01
    1250.0,     -26.1,      0.00
    1250.0,     -30.5,     -0.00
    1250.0,     -34.8,     -0.00
    1250.0,     -39.2,     -0.01
    1250.0,     -43.6,     -0.01
    1250.0,     -48.0,     -0.01
    1250.0,     -52.3,     -0.01
    1250.0,     -56.7,     -0.01
    1250.0,     -61.1,     -0.01
    1250.0,     -65.4,     -0.01
    1350.0,      34.8,      0.26
    1350.0,      31.8,      0.47
    1350.0,      28.8,      0.55
    1350.0,      25.8,      0.38
    1350.0,      22.8,      0.23
    1350.0,      19.8,      0.15
    1350.0,      16.8,      0.13
    1350.0,      13.8,      0.11
    1350.0,      10.8,      0.10
    1350.0,       7.8,      0.09
    1350.0,       4.8,      0.07
    1350.0,       1.8,      0.06
    1350.0,      -1.2,      0.05
    1350.0,      -4.2,      0.04
    1350.0,      -7.2,      0.03
    1350.0,     -10.2,      0.03
    1350.0,     -13.2,      0.02
    1350.0,     -16.2,      0.02
    1350.0,     -19.2,      0.01
    1350.0,     -22.2,      0.01
    1350.0,     -25.9,      0.01
    1350.0,     -30.3,      0.00
    1350.0,     -34.7,     -0.00
    1350.0,     -39.1,     -0.00
    1350.0,     -43.4,     -0.00
    1350.0,     -47.8,     -0.00
    1350.0,     -52.2,     -0.00
    1350.0,     -56.6,     -0.00
    1350.0,     -61.0,     -0.00
    1350.0,     -65.4,     -0.00
    1450.0,      33.5,      0.19
    1450.0,      30.5,      0.37
    1450.0,      27.5,      0.47
    1450.0,      24.5,      0.38
    1450.0,      21.5,      0.28
    1450.0,      18.5,      0.21
    1450.0,      15.5,      0.17
    1450.0,      12.5,      0.14
    1450.0,       9.5,      0.11
    1450.0,       6.5,      0.09
    1450.0,       3.5,      0.08
    1450.0,       0.5,      0.06
    1450.0,      -2.5,      0.05
    1450.0,      -5.5,      0.04
    1450.0,      -8.5,      0.03
    1450.0,     -11.5,      0.03
    1450.0,     -14.5,      0.02
    1450.0,     -17.5,      0.02
    1450.0,     -20.5,      0.01
    1450.0,     -23.5,      0.01
    1450.0,     -27.1,      0.01
    1450.0,     -31.4,      0.01
    1450.0,     -35.6,      0.00
    1450.0,     -39.9,      0.00
    1450.0,     -44.2,      0.00
    1450.0,     -48.4,     -0.00
    1450.0,     -52.7,     -0.00
    1450.0,     -57.0,     -0.00
    1450.0,     -61.2,     -0.00
    1450.0,     -65.5,     -0.00
    1550.0,      31.1,      0.14
    1550.0,      28.1,      0.27
    1550.0,      25.1,      0.35
    1550.0,      22.1,      0.32
    1550.0,      19.1,      0.30
    1550.0,      16.1,      0.27
    1550.0,      13.1,      0.22
    1550.0,      10.1,      0.17
    1550.0,       7.1,      0.13
    1550.0,       4.1,      0.10
    1550.0,       1.1,      0.08
    1550.0,      -1.9,      0.06
    1550.0,      -4.9,      0.05
    1550.0,      -7.9,      0.04
    1550.0,     -10.9,      0.03
    1550.0,     -13.9,      0.03
    1550.0,     -16.9,      0.02
    1550.0,     -19.9,      0.02
    1550.0,     -22.9,      0.02
    1550.0,     -25.9,      0.01
    1550.0,     -29.4,      0.01
    1550.0,     -33.4,      0.01
    1550.0,     -37.4,      0.01
    1550.0,     -41.5,      0.01
    1550.0,     -45.5,      0.00
    1550.0,     -49.5,      0.00
    1550.0,     -53.5,      0.00
    1550.0,     -57.6,      0.00
    1550.0,     -61.6,      0.00
    1550.0,     -65.6,      0.00
    1650.0,      28.5,      0.13
    1650.0,      25.5,      0.20
    1650.0,      22.5,      0.26
    1650.0,      19.5,      0.31
    1650.0,      16.5,      0.36
    1650.0,      13.5,      0.36
    1650.0,      10.5,      0.30
    1650.0,       7.5,      0.23
    1650.0,       4.5,      0.17
    1650.0,       1.5,      0.12
    1650.0,      -1.5,      0.09
    1650.0,      -4.5,      0.07
    1650.0,      -7.5,      0.06
    1650.0,     -10.5,      0.05
    1650.0,     -13.5,      0.04
    1650.0,     -16.5,      0.03
    1650.0,     -19.5,      0.03
    1650.0,     -22.5,      0.02
    1650.0,     -25.5,      0.02
    1650.0,     -28.5,      0.02
    1650.0,     -31.9,      0.02
    1650.0,     -35.6,      0.01
    1650.0,     -39.4,      0.01
    1650.0,     -43.1,      0.01
    1650.0,     -46.9,      0.01
    1650.0,     -50.7,      0.01
    1650.0,     -54.4,      0.01
    1650.0,     -58.2,      0.01
    1650.0,     -62.0,      0.00
    1650.0,     -65.7,      0.00
    1750.0,      25.5,      0.16
    1750.0,      22.5,      0.22
    1750.0,      19.5,      0.31
    1750.0,      16.5,      0.43
    1750.0,      13.5,      0.53
    1750.0,      10.5,      0.51
    1750.0,       7.5,      0.40
    1750.0,       4.5,      0.29
    1750.0,       1.5,      0.21
    1750.0,      -1.5,      0.15
    1750.0,      -4.5,      0.11
    1750.0,      -7.5,      0.08
    1750.0,     -10.5,      0.07
    1750.0,     -13.5,      0.05
    1750.0,     -16.5,      0.05
    1750.0,     -19.5,      0.04
    1750.0,     -22.5,      0.03
    1750.0,     -25.5,      0.03
    1750.0,     -28.5,      0.03
    1750.0,     -31.5,      0.02
    1750.0,     -34.7,      0.02
    1750.0,     -38.2,      0.02
    1750.0,     -41.6,      0.02
    1750.0,     -45.1,      0.01
    1750.0,     -48.6,      0.01
    1750.0,     -52.0,      0.01
    1750.0,     -55.5,      0.01
    1750.0,     -59.0,      0.01
    1750.0,     -62.4,      0.01
    1750.0,     -65.9,      0.01
    1850.0,      23.1,      0.21
    1850.0,      20.1,      0.29
    1850.0,      17.1,      0.42
    1850.0,      14.1,      0.60
    1850.0,      11.1,      0.69
    1850.0,       8.1,      0.62
    1850.0,       5.1,      0.47
    1850.0,       2.1,      0.34
    1850.0,      -0.9,      0.24
    1850.0,      -3.9,      0.17
    1850.0,      -6.9,      0.13
    1850.0,      -9.9,      0.10
    1850.0,     -12.9,      0.08
    1850.0,     -15.9,      0.06
    1850.0,     -18.9,      0.05
    1850.0,     -21.9,      0.05
    1850.0,     -24.9,      0.04
    1850.0,     -27.9,      0.04
    1850.0,     -30.9,      0.03
    1850.0,     -33.9,      0.03
    1850.0,     -37.0,      0.02
    1850.0,     -40.2,      0.02
    1850.0,     -43.5,      0.02
    1850.0,     -46.7,      0.02
    1850.0,     -49.9,      0.01
    1850.0,     -53.1,      0.01
    1850.0,     -56.4,      0.01
    1850.0,     -59.6,      0.01
    1850.0,     -62.8,      0.01
    1850.0,     -66.0,      0.01
    1950.0,      23.6,      0.25
    1950.0,      20.6,      0.32
    1950.0,      17.6,      0.44
    1950.0,      14.6,      0.60
    1950.0,      11.6,      0.68
    1950.0,       8.6,      0.60
    1950.0,       5.6,      0.46
    1950.0,       2.6,      0.33
    1950.0,      -0.4,      0.24
    1950.0,      -3.4,      0.17
    1950.0,      -6.4,      0.13
    1950.0,      -9.4,      0.10
    1950.0,     -12.4,      0.08
    1950.0,     -15.4,      0.07
