Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,0,48,478997.8,6197216.0,35.1,34.4,0.0,0.0,1315.674,344.6138,1134.594,265.0379,883.7112,287.3947,648.1903,295.4125,325.8853,320.7488,290.9215,102.9907
1,0,49,478997.8,6197241.0,35.2,34.4,0.0,0.0,1317.436,348.3767,1133.430,266.6442,881.9590,287.8373,646.4261,294.9542,325.1624,319.4624,289.0681,102.0502
1,0,50,478997.8,6197266.0,35.4,34.4,0.0,0.0,1311.876,348.0782,1127.686,266.7467,875.8440,287.1685,641.4520,293.1696,322.6647,316.7236,287.6428,101.4053
1,0,51,478997.8,6197291.0,35.7,34.4,0.0,0.0,1301.650,345.7511,1118.068,266.9896,865.1258,285.4132,633.7102,289.7532,319.1960,312.5935,286.4687,101.2459
1,0,52,478997.8,6197316.0,36.0,34.4,0.0,0.0,1287.425,336.3507,1107.006,265.7888,853.2680,282.1628,626.1558,285.5128,316.2691,308.4740,283.4458,100.7019
1,0,53,478997.8,6197341.0,36.1,34.4,0.0,0.0,1274.267,321.6879,1098.012,263.5292,843.6130,278.7987,620.5333,281.6660,314.4898,305.3163,279.6638,99.05941
1,0,54,478997.8,6197366.0,36.1,34.4,0.0,0.0,1264.304,309.2930,1093.308,260.3563,839.0532,276.7184,617.8151,279.6426,313.8450,303.6376,278.6403,98.35964
1,0,55,478997.8,6197391.0,35.9,34.4,0.0,0.0,1261.980,305.4891,1094.384,258.4640,840.5716,276.6562,618.7298,279.7867,314.8284,303.8558,281.8540,100.0772
1,0,56,478997.8,6197416.0,35.5,34.4,0.0,0.0,1267.806,305.6006,1102.071,256.9655,849.4003,278.2716,624.3052,282.3119,318.0962,306.4580,286.1347,101.9581
1,0,57,478997.8,6197441.0,35.0,34.4,0.0,0.0,1276.739,306.9430,1111.950,255.2282,861.5492,280.0391,632.2630,285.7617,322.8116,310.1541,289.9849,103.1132
1,0,58,478997.8,6197466.0,34.4,34.4,0.0,0.0,1286.777,311.9891,1121.977,253.9164,874.5703,281.7895,640.8677,289.3561,328.1597,314.0820,294.8357,104.6718
