Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,929,480199.8,6199066.0,41.8,33.7,0.0,0.0,1637.774,401.0198,1216.471,519.3289,661.1238,532.2675,215.9977,334.1228,48.91008,136.2735,154.0484,159.4949
1,1,940,480198.0,6199103.5,41.1,33.8,0.0,0.0,1645.801,403.9713,1222.970,521.1494,665.8240,535.1095,217.3898,336.5076,49.05118,137.1289,151.0816,154.5865
1,1,951,480196.9,6199140.5,40.8,33.3,0.0,0.0,1705.050,423.3218,1263.219,541.9976,685.3483,554.1090,222.3131,346.9878,49.73484,140.7021,154.4815,160.0030
1,1,962,480196.4,6199177.0,41.1,32.1,0.0,0.0,1805.579,455.9355,1330.304,578.5049,716.1808,586.0495,229.8340,363.6976,50.82788,146.3406,163.4443,174.2630
1,1,973,480196.6,6199213.0,41.3,31.2,0.0,0.0,1889.604,483.3952,1385.737,609.5627,740.8972,612.6061,235.6925,377.1881,51.68052,150.8385,171.2015,186.5536
1,1,984,480196.9,6199249.5,41.8,30.8,0.0,0.0,1910.586,490.8423,1398.551,618.1548,745.4939,619.0283,236.4702,379.8623,51.77169,151.6205,172.3333,188.2530
1,1,995,480197.0,6199285.5,41.8,31.0,0.0,0.0,1871.787,478.9708,1371.359,605.1671,731.5214,606.4564,232.6553,372.4994,51.18500,148.9931,167.7484,181.0664
1,1,1006,480196.6,6199322.0,41.3,32.1,0.0,0.0,1795.464,454.4502,1319.497,578.3806,706.3322,582.0736,226.1697,359.0159,50.22454,144.3345,160.7020,170.5326
1,1,1017,480195.7,6199358.5,40.4,33.1,0.0,0.0,1702.490,423.7473,1257.225,545.1481,676.7339,552.5873,218.7612,343.0542,49.15679,138.9088,153.7384,160.8697
1,1,1028,480194.9,6199395.0,39.7,34.5,0.0,0.0,1605.174,391.3672,1192.440,510.0761,646.2643,521.8366,211.2049,326.5756,48.06642,133.3322,146.7618,151.5474
1,1,1039,480194.7,6199431.0,39.2,35.5,0.0,0.0,1515.573,361.8746,1132.762,477.7418,618.2776,493.5528,204.2045,311.4564,47.02206,128.1800,139.3537,141.4066
1,1,1050,480195.3,6199467.0,38.7,36.3,0.0,0.0,1447.034,340.0753,1086.578,453.3120,596.2779,471.8331,198.5244,299.6567,46.12885,124.0784,132.3795,131.5125
1,1,1061,480196.7,6199503.0,38.4,36.8,0.0,0.0,1420.227,332.9638,1067.006,444.7824,585.6826,463.0272,195.4319,294.1769,45.60332,122.0368,128.8880,126.5502
1,1,1072,480198.6,6199539.0,38.5,36.7,0.0,0.0,1454.133,346.9124,1086.121,459.4816,591.4888,472.9686,196.1078,297.7797,45.65035,122.9900,131.8029,131.0441
1,1,1083,480200.6,6199575.5,40.0,35.3,0.0,0.0,1535.030,376.8098,1135.595,491.8616,610.5598,497.5100,199.9438,308.6628,46.18386,126.3843,139.6649,142.9310
1,1,1094,480202.2,6199611.5,41.5,33.7,0.0,0.0,1618.226,406.5979,1187.819,524.1619,632.0909,523.0565,204.6617,320.7138,46.85113,130.2673,147.0367,154.1671
1,1,1105,480203.1,6199647.5,41.5,32.7,0.0,0.0,1669.149,424.0696,1221.263,542.7478,647.5276,539.0490,208.4188,329.1190,47.36360,133.0880,149.6186,158.4066
1,1,1116,480203.1,6199683.0,40.2,33.5,0.0,0.0,1701.697,435.5615,1243.368,553.8475,658.9250,549.4210,211.4217,335.2019,47.74829,135.1926,149.0358,158.1079
1,1,1127,480202.7,6199718.5,39.8,32.8,0.0,0.0,1750.718,455.3512,1274.219,572.1833,673.0970,564.4008,214.8276,343.0186,48.17598,137.7810,149.3259,159.3310
1,1,1138,480202.3,6199754.5,40.9,30.9,0.0,0.0,1840.709,493.6460,1327.762,608.2148,694.6387,591.1237,219.3884,355.3324,48.76004,141.6633,153.4471,166.5405
1,1,1149,480202.3,6199790.5,42.4,29.4,0.0,0.0,1952.149,542.9336,1392.010,654.2331,718.7654,623.6329,224.1408,369.4314,49.37576,145.9988,160.1034,177.8356
1,1,1160,480202.5,6199826.0,42.9,29.3,0.0,0.0,2054.538,591.1503,1448.633,697.9214,738.4883,652.7416,227.7385,381.2980,49.84455,149.5593,166.8772,189.6269
1,1,1171,480203.0,6199861.0,43.0,29.4,0.0,0.0,2118.972,626.2209,1480.641,727.4427,747.3948,669.9240,228.8912,387.2192,49.98090,151.1876,171.3223,198.1550
1,1,1182,480203.4,6199896.0,43.5,28.5,0.0,0.0,2114.788,634.2350,1470.604,730.0233,738.8971,666.4375,226.1325,383.3500,49.54752,149.6322,170.6394,198.8915
1,1,1193,480203.4,6199931.0,43.8,28.6,0.0,0.0,2010.408,600.6891,1400.679,692.4598,706.2851,633.3207,217.9659,365.7635,48.30120,143.6140,161.9653,187.1640
1,1,1204,480203.1,6199966.5,42.7,30.8,0.0,0.0,1820.225,530.2617,1280.234,620.1533,653.5870,575.0925,205.3096,336.6754,46.37681,133.8600,146.5711,164.7573
1,1,1215,480202.3,6200002.0,41.1,33.0,0.0,0.0,1633.450,458.3777,1163.334,548.5471,602.7295,518.3419,193.1463,308.4864,44.54281,124.4369,132.3781,143.7569
1,1,1226,480200.8,6200037.5,39.8,35.0,0.0,0.0,1539.082,420.6333,1103.743,513.0881,575.4394,489.5398,186.4022,293.5032,43.55910,119.3762,127.2625,136.2223
1,1,1237,480199.1,6200072.5,39.6,35.2,0.0,0.0,1538.138,418.2886,1101.914,514.1768,572.0776,488.9369,185.1910,291.9272,43.43427,118.7487,130.6871,141.4399
1,1,1248,480197.6,6200107.0,40.3,34.1,0.0,0.0,1556.434,423.1884,1112.671,522.3138,574.6204,494.3554,185.4686,293.5568,43.53002,119.2169,135.0564,147.9813
1,1,1259,480196.7,6200142.0,39.9,33.7,0.0,0.0,1527.647,410.0737,1095.641,511.1350,566.9283,485.9750,183.6075,289.2589,43.27493,117.7917,133.6466,145.7188
1,1,1270,480196.5,6200177.0,38.5,35.2,0.0,0.0,1453.971,379.8031,1052.023,481.5842,549.3822,464.4096,179.6633,279.2663,42.67606,114.5388,126.8275,135.1618
1,1,1281,480196.9,6200212.5,36.8,37.0,0.0,0.0,1379.686,349.1602,1008.550,451.4111,532.4386,442.8301,175.9254,269.5309,42.09351,111.3868,119.4402,123.5168
1,1,1292,480197.4,6200248.5,36.2,37.5,0.0,0.0,1346.884,334.1083,990.6436,437.4772,526.0604,433.7577,174.5788,265.7216,41.87051,110.1732,116.0698,117.6257
1,1,1303,480197.8,6200284.5,36.6,37.4,0.0,0.0,1358.053,335.4901,999.8498,440.7758,530.8475,437.9439,175.7544,268.1787,42.02931,111.0082,117.0760,118.1493
1,1,1314,480197.8,6200320.0,37.8,36.6,0.0,0.0,1397.627,347.2609,1026.809,455.0798,543.1019,450.7683,178.6378,274.8003,42.44478,113.2097,120.9047,122.9386
1,1,1325,480197.1,6200354.5,39.4,34.4,0.0,0.0,1451.205,363.7491,1062.940,474.5663,559.5089,467.9702,182.5302,283.6858,43.01371,116.1734,126.1571,130.0538
1,1,1336,480196.0,6200389.0,39.7,33.4,0.0,0.0,1513.293,382.1538,1105.594,496.6141,579.5325,488.0811,187.4729,294.4234,43.75767,119.8264,132.4466,138.9949
1,1,1347,480195.1,6200424.0,38.9,34.2,0.0,0.0,1579.640,400.0356,1152.997,519.0090,603.0966,510.0290,193.6458,306.8400,44.72336,124.1872,139.5502,149.5297
1,1,1358,480194.7,6200459.0,38.9,32.8,0.0,0.0,1643.644,414.8937,1201.148,539.0740,628.6823,531.8183,200.7668,320.0578,45.87801,128.9936,146.8195,160.6231
1,1,1369,480194.8,6200494.5,38.3,32.2,0.0,0.0,1699.463,425.9331,1245.147,555.2589,653.4405,551.3215,207.9822,332.6436,47.08049,133.7008,153.2379,170.2513
1,1,1380,480195.6,6200530.5,36.2,33.4,0.0,0.0,1739.707,432.2262,1278.716,565.6541,673.6721,565.8270,214.1738,342.7438,48.14461,137.5998,157.5267,175.9028
1,1,1391,480196.7,6200566.5,35.8,33.0,0.0,0.0,1760.748,433.7329,1298.374,569.5837,687.0812,573.9101,218.5789,349.2469,48.93023,140.2339,158.9537,176.2967
1,1,1402,480197.7,6200601.5,35.6,33.2,0.0,0.0,1766.340,432.0362,1306.231,568.7136,694.2616,576.6922,221.2012,352.5515,49.40607,141.6759,157.8836,172.4855
1,1,1413,480197.9,6200636.5,35.6,33.0,0.0,0.0,1761.775,428.9049,1305.751,565.0519,696.6845,575.8627,222.3288,353.4859,49.59251,142.1712,154.8239,165.6463
1,1,1424,480197.4,6200671.5,35.7,33.1,0.0,0.0,1762.309,429.6911,1306.546,564.5480,698.2538,576.1060,222.8405,354.2336,49.62701,142.4370,151.8484,159.3994
1,1,1435,480196.7,6200706.0,35.9,33.0,0.0,0.0,1792.349,442.8090,1324.090,576.6328,705.3586,584.9136,224.2571,358.3313,49.77402,143.6755,152.4889,159.6052
1,1,1446,480196.0,6200741.0,37.3,31.1,0.0,0.0,1873.628,475.7756,1372.173,609.6862,723.7264,608.9548,227.9502,368.9452,50.27183,146.9651,159.8226,171.3366
1,1,1457,480195.7,6200776.5,38.7,29.8,0.0,0.0,1976.476,517.0525,1432.991,651.6917,746.5831,639.3586,232.5631,382.1734,50.93428,151.0951,170.7311,189.5171
1,1,1468,480195.7,6200811.5,38.9,29.2,0.0,0.0,2032.381,540.6086,1464.966,675.1523,757.8347,655.5389,234.7224,388.8300,51.26101,153.1481,177.3457,201.2226
1,1,1479,480196.4,6200847.0,37.1,31.9,0.0,0.0,1988.271,526.4034,1435.795,658.8184,744.9233,641.5225,231.7773,381.7606,50.85626,150.8447,173.4789,196.2703
1,1,1490,480197.7,6200882.5,35.8,32.8,0.0,0.0,1876.037,486.4917,1364.873,615.4766,715.3519,606.9333,225.2463,365.2548,49.92970,145.5214,162.2354,179.3516
1,1,1501,480199.0,6200917.0,35.3,33.0,0.0,0.0,1768.768,448.4946,1296.689,574.3900,686.4077,573.8093,218.6944,349.1774,48.98852,140.2806,151.2233,162.3898
1,1,1512,480199.9,6200952.5,35.1,33.2,0.0,0.0,1716.271,431.3669,1261.408,555.5907,669.6988,557.1202,214.4978,340.1727,48.37245,137.2073,145.6439,153.6234
1,1,1523,480200.3,6200987.5,35.0,33.2,0.0,0.0,1722.748,436.1974,1262.174,560.3480,667.0266,558.2465,213.2196,339.1656,48.17519,136.6591,145.9692,154.1296
1,1,1534,480200.0,6201023.0,35.2,32.5,0.0,0.0,1774.530,457.3942,1291.156,582.8353,675.8547,573.1464,214.5216,344.6187,48.36443,138.2183,150.8103,162.1568
1,1,1545,480199.4,6201059.0,36.2,30.6,0.0,0.0,1849.825,486.5215,1335.416,614.0810,691.5135,595.3174,217.5451,353.8076,48.82208,141.0626,157.9874,174.5162
1,1,1556,480199.1,6201094.5,36.6,30.2,0.0,0.0,1899.201,505.5930,1364.448,634.5556,701.8198,609.8295,219.5789,359.8546,49.13071,142.9493,162.6012,183.1217
1,1,1567,480199.5,6201130.5,35.7,31.4,0.0,0.0,1872.897,496.6674,1347.351,624.7307,694.2510,601.6096,217.7846,355.7220,48.85059,141.5659,159.7071,179.7855
1,1,1578,480200.1,6201166.0,34.7,32.8,0.0,0.0,1771.151,459.8137,1284.229,584.7563,668.7473,570.7444,212.0971,341.3885,47.96926,136.8873,149.3974,164.2649
1,1,1589,480200.7,6201201.5,34.3,34.1,0.0,0.0,1666.797,421.3552,1220.076,543.4465,643.1710,539.2917,206.4185,326.9442,47.08500,132.1780,139.0436,147.9503
1,1,1600,480201.2,6201236.5,34.5,34.5,0.0,0.0,1634.586,408.3096,1201.085,530.3537,635.8892,529.8882,204.7725,322.7596,46.81570,130.7979,136.2073,142.5662
1,1,1611,480201.2,6201271.0,35.0,34.4,0.0,0.0,1682.907,423.5660,1232.652,548.6276,649.2780,545.1085,207.7698,330.1344,47.26431,133.2019,141.8058,149.8725
1,1,1622,480200.5,6201305.5,36.1,32.6,0.0,0.0,1767.631,450.8535,1287.948,580.4828,673.1303,571.6663,213.3463,343.2207,48.13094,137.5602,151.5206,163.7621
1,1,1633,480199.3,6201340.5,36.6,31.3,0.0,0.0,1846.183,474.4571,1341.115,608.7413,697.6344,596.7479,219.5254,356.3925,49.12881,142.1150,161.1628,178.2847
1,1,1644,480198.0,6201376.5,36.3,30.6,0.0,0.0,1891.643,485.0698,1375.159,622.9395,715.8643,612.0761,224.7540,365.7838,50.01385,145.5981,167.4276,188.0781
1,1,1655,480197.1,6201413.0,34.7,31.4,0.0,0.0,1886.051,477.4361,1377.755,616.7126,722.0695,611.8644,227.5245,368.3300,50.52801,146.9203,167.2775,187.5544
