 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11250 397 734923.25 7172891.5 568.4131042248159 88.57290516893998 0.0 54800.46 161721.0 59166.0 18436.0 5384.0 502.0 2.0 23.0 17.0 42.0 0.0 183635.0 82539.0 39200.0 16514.0 5387.0 1661.0 696.0 343.0 144.0 0.0
 1 11250 398 734923.31 7172877.5 568.5585975176488 88.82598039341947 0.0 54799.67 159653.0 59659.0 18471.0 5475.0 472.0 -53.0 4.0 3.0 31.0 0.0 182866.0 83685.0 39726.0 16801.0 5362.0 1647.0 680.0 331.0 136.0 0.0
 1 11250 399 734923.38 7172863.5 568.6397661245223 89.00775160807972 0.0 54798.71 157151.0 59746.0 18351.0 5442.0 417.0 -110.0 -14.0 -12.0 19.0 0.0 183252.0 86145.0 40759.0 17259.0 5354.0 1634.0 663.0 318.0 128.0 0.0
 1 11250 400 734923.44 7172849.5 568.6734540077854 89.11116078704757 0.0 54797.54 154302.0 59438.0 18063.0 5282.0 344.0 -163.0 -32.0 -25.0 8.0 0.0 184653.0 89235.0 42085.0 17819.0 5359.0 1623.0 646.0 305.0 119.0 0.0
 1 11250 401 734923.56 7172835.5 568.6756647881614 89.1376444680611 0.0 54796.35 151341.0 58819.0 17615.0 5008.0 264.0 -209.0 -51.0 -38.0 -3.0 0.0 186883.0 92421.0 43517.0 18405.0 5375.0 1613.0 628.0 292.0 110.0 0.0
 1 11250 402 734923.69 7172821.5 568.6596508454577 89.1091947409032 0.0 54795.33 148668.0 58022.0 17046.0 4653.0 182.0 -248.0 -70.0 -51.0 -13.0 0.0 189739.0 95406.0 44913.0 18945.0 5396.0 1602.0 609.0 280.0 100.0 0.0
 1 11250 403 734923.81 7172807.5 568.6393662069684 89.06962871771977 0.0 54794.48 146808.0 57229.0 16430.0 4265.0 108.0 -280.0 -89.0 -63.0 -22.0 0.0 193033.0 98130.0 46186.0 19389.0 5419.0 1592.0 591.0 267.0 90.0 0.0
 1 11250 404 734923.94 7172793.5 568.629414138573 89.07000926028411 0.0 54793.89 146303.0 56661.0 15874.0 3898.0 45.0 -307.0 -109.0 -75.0 -29.0 0.0 196592.0 100691.0 47291.0 19715.0 5439.0 1580.0 572.0 254.0 79.0 0.0
 1 11250 405 734924.06 7172779.5 568.6440386202413 89.14763183588647 0.0 54793.31 147598.0 56585.0 15508.0 3598.0 -2.0 -330.0 -128.0 -85.0 -34.0 0.0 200274.0 103238.0 48221.0 19926.0 5453.0 1569.0 552.0 242.0 69.0 0.0
 1 11250 406 734924.19 7172765.5 568.6918863957035 89.31287031818327 0.0 54792.92 150925.0 57319.0 15478.0 3402.0 -31.0 -350.0 -148.0 -95.0 -39.0 0.0 203978.0 105894.0 48995.0 20043.0 5462.0 1557.0 532.0 231.0 59.0 0.0
 1 11250 407 734924.38 7172751.5 568.7544178288696 89.55084004198581 0.0 54792.56 156253.0 59194.0 15937.0 3332.0 -44.0 -368.0 -167.0 -103.0 -42.0 0.0 207665.0 108725.0 49655.0 20089.0 5467.0 1544.0 512.0 221.0 50.0 0.0
 1 11250 408 734924.5 7172737.5 568.8290084894711 89.83356470058344 0.0 54792.21 163314.0 62479.0 17030.0 3411.0 -40.0 -384.0 -187.0 -111.0 -46.0 0.0 211346.0 111763.0 50265.0 20091.0 5470.0 1530.0 493.0 212.0 43.0 0.0
 1 11250 409 734924.63 7172723.5 568.9177597625757 90.13546866983877 0.0 54791.82 171684.0 67268.0 18856.0 3662.0 -19.0 -399.0 -207.0 -118.0 -49.0 0.0 215062.0 115035.0 50919.0 20075.0 5474.0 1517.0 476.0 205.0 38.0 0.0
 1 11250 410 734924.75 7172709.5 569.0218868614578 90.44345233062907 0.0 54791.31 180867.0 73409.0 21438.0 4108.0 20.0 -413.0 -228.0 -124.0 -53.0 0.0 218840.0 118555.0 51738.0 20070.0 5484.0 1504.0 462.0 199.0 36.0 0.0
 1 11250 411 734924.88 7172695.5 569.142859027454 90.75784615342845 0.0 54790.62 190343.0 80533.0 24699.0 4764.0 81.0 -425.0 -249.0 -129.0 -57.0 0.0 222671.0 122309.0 52858.0 20111.0 5503.0 1492.0 452.0 195.0 38.0 0.0
 1 11250 412 734925.0 7172681.5 569.2817578826 91.08644588534578 0.0 54789.79 199599.0 88157.0 28469.0 5630.0 169.0 -436.0 -270.0 -134.0 -62.0 0.0 226514.0 126256.0 54405.0 20239.0 5537.0 1484.0 446.0 191.0 43.0 0.0
 1 11250 413 734925.13 7172668.5 569.4301925813381 91.43590957498893 0.0 54788.93 208168.0 95814.0 32521.0 6688.0 293.0 -443.0 -289.0 -139.0 -68.0 0.0 230312.0 130352.0 56462.0 20494.0 5592.0 1478.0 445.0 189.0 50.0 0.0
 1 11250 414 734925.25 7172655.0 569.6240172070522 91.8059052318753 0.0 54787.56 215701.0 103129.0 36630.0 7912.0 461.0 -444.0 -307.0 -142.0 -74.0 0.0 234022.0 134596.0 59046.0 20910.0 5672.0 1476.0 447.0 187.0 59.0 0.0
 1 11250 415 734925.31 7172641.5 569.852430147809 92.18930443999166 0.0 54785.6 222016.0 109844.0 40617.0 9270.0 682.0 -435.0 -320.0 -144.0 -80.0 0.0 237627.0 139035.0 62102.0 21507.0 5781.0 1477.0 452.0 185.0 69.0 0.0
