Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,0,33,734931.2,7171758.5,573.0,94.9,0.0,0.0,595528.7,401248.8,267174.3,146220.8,51793.87,1754.072,-6772.874,-802.9937,668.5748,0.000000,1214416.,962921.1,789587.3,605391.0,410639.3,227976.5,91155.99,19990.59,1504.656,0.000000
1,0,34,734931.2,7171808.5,575.0,94.9,0.0,0.0,610435.5,369868.5,203743.2,76955.35,1443.688,-21105.50,-12622.62,-1490.708,710.7176,0.000000,1150337.,869798.4,673908.8,478993.7,295589.0,148836.5,55596.30,12249.24,1115.088,0.000000
1,0,35,734931.2,7171858.5,577.6,94.9,0.0,0.0,592212.1,308873.8,136057.3,31596.73,-13295.64,-17786.52,-7566.379,-16.47778,820.1802,0.000000,1069636.,736405.0,514305.3,323482.4,174835.3,78481.31,27725.16,6579.095,864.6327,0.000000
1,0,36,734931.4,7171908.5,577.1,94.9,0.0,0.0,559888.4,248961.6,95900.46,25887.50,2106.925,-1210.560,784.0135,1817.419,892.1929,0.000000,1012744.,600043.0,362053.8,196198.3,91828.50,37065.92,13008.70,3805.346,792.4752,0.000000
1,0,37,734931.4,7171958.5,577.2,94.9,0.0,0.0,511219.7,211175.7,87528.55,40093.36,21551.07,12133.20,6300.278,2799.865,851.1368,0.000000,971073.1,483836.6,250355.3,121788.2,53662.17,21519.75,8200.780,3005.252,809.6590,0.000000
1,0,38,734931.4,7172008.5,577.1,94.9,0.0,0.0,440630.8,179933.1,83135.09,45354.99,27427.19,15713.32,7559.324,2808.627,723.7803,0.000000,963359.6,430447.8,200676.5,94543.44,43369.28,18769.85,7684.840,2962.179,827.8401,0.000000
1,0,39,734931.5,7172058.5,577.1,94.9,0.0,0.0,357472.8,129362.8,64104.88,37146.39,23097.89,13510.96,6540.328,2347.784,573.3202,0.000000,946634.8,407744.6,181637.3,84955.62,40442.00,18470.10,7812.366,2970.138,812.9539,0.000000
1,0,40,734931.6,7172108.5,572.9,94.9,0.0,0.0,317820.2,77818.09,40040.38,25073.33,16307.24,9940.972,4975.603,1809.472,440.2953,0.000000,910677.0,379145.7,166679.7,77468.84,37363.22,17565.49,7592.261,2863.628,770.3471,0.000000
1,0,41,734931.6,7172158.5,573.2,94.9,0.0,0.0,312670.5,44320.04,20493.37,14683.92,10391.52,6724.215,3525.166,1326.970,330.8377,0.000000,869115.4,335558.8,147441.3,68445.05,33092.84,15812.73,6972.024,2641.979,707.2718,0.000000
1,0,42,734931.6,7172208.5,573.1,94.9,0.0,0.0,310293.1,31286.17,8791.577,7749.694,6330.377,4432.568,2446.412,962.1820,248.7934,0.000000,840870.0,294203.4,128449.2,59741.11,28859.72,13921.30,6232.206,2383.052,638.8113,0.000000
1,0,43,734931.7,7172258.5,573.0,94.9,0.0,0.0,305329.7,30396.57,2823.699,3399.199,3666.659,2874.250,1684.564,696.1309,187.7227,0.000000,816279.6,263305.7,112728.6,52495.67,25304.09,12260.43,5552.973,2141.855,576.1094,0.000000
1,0,44,734931.8,7172308.5,573.6,94.9,0.0,0.0,302038.5,34964.23,334.4719,699.3779,1909.182,1812.823,1145.343,501.9804,142.0342,0.000000,793536.2,243175.5,100520.7,46624.64,22403.61,10874.84,4959.658,1927.172,520.0676,0.000000
1,0,45,734931.8,7172358.5,570.2,94.9,0.0,0.0,306605.7,41125.53,-267.8246,-982.8435,716.4454,1067.632,758.2455,357.5749,107.1637,0.000000,790210.5,234629.7,92092.51,42121.56,20132.41,9759.086,4471.646,1745.953,472.2570,0.000000
1,0,46,734931.9,7172408.5,568.9,94.9,0.0,0.0,307581.9,45580.76,52.01403,-1957.428,-70.91938,554.5350,478.4933,251.0713,80.71775,0.000000,797319.6,233159.2,86291.87,38527.07,18276.82,8835.686,4051.934,1587.566,430.2922,0.000000
1,0,47,734931.9,7172458.5,569.1,94.9,0.0,0.0,294301.0,46274.44,567.2852,-2485.611,-610.3824,180.9333,272.6102,169.8031,59.90559,0.000000,797560.4,233280.8,81930.56,35507.64,16684.21,8026.337,3680.682,1444.153,391.7927,0.000000
1,0,48,734932.0,7172508.5,569.1,94.9,0.0,0.0,285113.8,46279.72,1392.456,-2629.996,-914.8626,-60.32542,128.2543,111.8787,44.88409,0.000000,803108.9,235950.4,79226.13,33168.83,15391.48,7361.807,3364.601,1320.367,358.1154,0.000000
1,0,49,734932.1,7172558.5,569.1,94.9,0.0,0.0,288372.5,47080.21,2351.463,-2648.626,-1148.728,-254.9234,14.22116,64.76715,32.48475,0.000000,808327.0,239303.2,77579.11,31349.94,14340.09,6803.201,3098.547,1213.792,328.8795,0.000000
1,0,50,734932.1,7172608.5,569.0,94.9,0.0,0.0,311415.9,51040.45,3947.787,-2381.696,-1229.897,-360.3806,-59.93586,33.75743,24.26003,0.000000,817910.1,243340.9,76766.94,29924.22,13473.29,6342.824,2869.776,1121.746,303.4174,0.000000
1,0,51,734932.1,7172658.5,569.4,94.9,0.0,0.0,352742.3,58798.53,6027.254,-2095.921,-1334.139,-478.3241,-130.3648,3.388441,15.85610,0.000000,835006.1,248002.8,76498.80,28786.05,12750.24,5953.820,2678.913,1043.553,281.9100,0.000000
1,0,52,734932.2,7172708.5,567.2,94.9,0.0,0.0,418389.0,72522.96,9147.243,-1565.097,-1335.807,-541.9616,-180.6919,-17.81487,10.05501,0.000000,878502.2,257446.5,77433.09,27949.51,12136.61,5624.182,2509.048,973.9347,262.4645,0.000000
1,0,53,734932.2,7172758.5,564.7,94.9,0.0,0.0,493965.9,91154.34,13246.46,-859.1006,-1313.316,-604.8753,-219.5506,-35.73239,5.111130,0.000000,946970.3,272103.7,79508.89,27399.90,11631.65,5340.346,2366.787,914.1818,245.9875,0.000000
1,0,54,734932.3,7172808.5,565.1,94.9,0.0,0.0,531095.9,107116.6,16974.20,-153.7019,-1259.854,-640.2744,-258.4379,-50.97845,0.7956028,0.000000,1004111.,287978.7,82274.11,26981.45,11161.52,5087.652,2234.216,859.9087,230.9718,0.000000
1,0,55,734932.4,7172858.5,565.0,94.9,0.0,0.0,541423.9,119378.1,20455.81,657.3372,-1154.444,-673.0808,-278.3770,-61.41475,-2.203199,0.000000,1053881.,307732.7,85992.30,26757.03,10741.89,4847.302,2109.612,808.3809,216.7185,0.000000
1,0,56,734932.4,7172908.5,565.1,94.9,0.0,0.0,539420.0,126139.0,22614.54,1318.761,-1043.208,-686.5280,-301.9908,-71.00732,-5.024889,0.000000,1082570.,329203.9,90920.04,26896.61,10440.01,4656.316,2005.219,765.1517,204.9123,0.000000
1,0,57,734932.5,7172958.5,565.1,94.9,0.0,0.0,534958.5,126982.4,23404.33,1846.391,-959.6984,-719.4614,-317.8411,-78.97672,-7.415339,0.000000,1105730.,350989.8,95862.95,27196.97,10213.88,4481.599,1910.027,724.7476,193.7349,0.000000
1,0,58,734932.5,7173008.5,565.1,94.9,0.0,0.0,528229.6,121864.4,22849.63,2147.036,-904.6238,-741.4545,-342.7839,-87.41379,-9.956949,0.000000,1127750.,370612.4,100552.9,27667.43,10049.88,4337.735,1825.214,689.1140,183.9607,0.000000
1,0,59,734932.6,7173058.5,565.1,94.9,0.0,0.0,521764.1,113467.9,21719.43,2328.253,-914.5757,-812.0350,-365.1434,-97.29552,-12.62535,0.000000,1145839.,383438.4,103467.1,28061.80,9929.263,4196.972,1743.922,654.4238,174.2191,0.000000
1,0,60,734932.6,7173108.5,565.1,94.9,0.0,0.0,520701.0,105599.1,21337.37,2433.540,-996.6277,-877.1254,-404.4276,-108.0818,-15.36988,0.000000,1154168.,385435.6,104258.5,28294.01,9763.229,4043.354,1659.506,619.6620,164.8506,0.000000
1,0,61,734932.7,7173158.5,565.1,94.9,0.0,0.0,513991.9,103079.9,22769.11,2475.775,-1192.095,-1035.203,-447.9539,-123.0285,-18.97747,0.000000,1139612.,367995.6,101373.0,27965.48,9473.179,3837.949,1556.085,579.8451,154.4965,0.000000
