Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
         1,     475.0,     521.9, 734932.25,7172928.50,    171.40,      2.23,      5.83,      0.77
         1,     475.0,     501.3, 734932.25,7172928.50,    172.18,      2.24,      5.81,      0.76
         1,     475.0,     479.5, 734932.25,7172928.50,    174.03,      2.24,      5.75,      0.76
         1,     475.0,     456.3, 734932.25,7172928.50,    176.95,      2.25,      5.65,      0.75
         1,     475.0,     431.8, 734932.25,7172928.50,    180.59,      2.26,      5.54,      0.74
         1,     475.0,     405.8, 734932.25,7172928.50,    184.45,      2.27,      5.42,      0.73
         1,     475.0,     378.2, 734932.25,7172928.50,    188.09,      2.27,      5.32,      0.73
         1,     475.0,     349.0, 734932.25,7172928.50,    191.22,      2.28,      5.23,      0.72
         1,     475.0,     318.0, 734932.25,7172928.50,    193.74,      2.29,      5.16,      0.71
         1,     475.0,     285.2, 734932.25,7172928.50,    195.63,      2.29,      5.11,      0.71
         1,     475.0,     250.1, 734932.25,7172928.50,    197.01,      2.29,      5.08,      0.71
         1,     475.0,     212.7, 734932.25,7172928.50,    197.95,      2.30,      5.05,      0.70
         1,     475.0,     173.0, 734932.25,7172928.50,    198.55,      2.30,      5.04,      0.70
         1,     475.0,     131.0, 734932.25,7172928.50,    198.87,      2.30,      5.03,      0.70
         1,     525.0,     562.3, 734932.25,7172878.50,    157.87,      2.20,      6.33,      0.80
         1,     525.0,     550.3, 734932.25,7172878.50,    158.32,      2.20,      6.32,      0.80
         1,     525.0,     538.3, 734932.25,7172878.50,    159.15,      2.20,      6.28,      0.80
         1,     525.0,     522.3, 734932.25,7172878.50,    161.25,      2.21,      6.20,      0.79
         1,     525.0,     501.7, 734932.25,7172878.50,    164.20,      2.22,      6.09,      0.78
         1,     525.0,     479.9, 734932.25,7172878.50,    168.08,      2.23,      5.95,      0.77
         1,     525.0,     456.7, 734932.25,7172878.50,    172.69,      2.24,      5.79,      0.76
         1,     525.0,     432.2, 734932.25,7172878.50,    177.64,      2.25,      5.63,      0.75
         1,     525.0,     406.2, 734932.25,7172878.50,    182.47,      2.26,      5.48,      0.74
         1,     525.0,     378.6, 734932.25,7172878.50,    186.81,      2.27,      5.35,      0.73
         1,     525.0,     349.4, 734932.25,7172878.50,    190.43,      2.28,      5.25,      0.72
         1,     525.0,     318.4, 734932.25,7172878.50,    193.26,      2.29,      5.17,      0.71
         1,     525.0,     285.6, 734932.25,7172878.50,    195.35,      2.29,      5.12,      0.71
         1,     525.0,     250.5, 734932.25,7172878.50,    196.85,      2.29,      5.08,      0.71
         1,     525.0,     212.9, 734932.25,7172878.50,    197.85,      2.30,      5.05,      0.70
         1,     525.0,     173.2, 734932.25,7172878.50,    198.49,      2.30,      5.04,      0.70
         1,     525.0,     131.1, 734932.25,7172878.50,    198.81,      2.30,      5.03,      0.70
         1,     575.0,     562.6, 734932.12,7172828.50,    137.28,      2.14,      7.28,      0.86
         1,     575.0,     550.6, 734932.12,7172828.50,    138.43,      2.14,      7.22,      0.86
         1,     575.0,     538.6, 734932.12,7172828.50,    140.48,      2.15,      7.12,      0.85
         1,     575.0,     522.6, 734932.12,7172828.50,    145.32,      2.16,      6.88,      0.84
         1,     575.0,     502.0, 734932.12,7172828.50,    151.41,      2.18,      6.60,      0.82
         1,     575.0,     480.1, 734932.12,7172828.50,    158.42,      2.20,      6.31,      0.80
         1,     575.0,     457.0, 734932.12,7172828.50,    165.75,      2.22,      6.03,      0.78
         1,     575.0,     432.5, 734932.12,7172828.50,    172.86,      2.24,      5.78,      0.76
         1,     575.0,     406.4, 734932.12,7172828.50,    179.32,      2.25,      5.58,      0.75
         1,     575.0,     378.9, 734932.12,7172828.50,    184.82,      2.27,      5.41,      0.73
         1,     575.0,     349.7, 734932.12,7172828.50,    189.22,      2.28,      5.28,      0.72
         1,     575.0,     318.7, 734932.12,7172828.50,    192.55,      2.28,      5.19,      0.72
         1,     575.0,     285.9, 734932.12,7172828.50,    194.95,      2.29,      5.13,      0.71
         1,     575.0,     250.7, 734932.12,7172828.50,    196.63,      2.29,      5.09,      0.71
         1,     575.0,     213.1, 734932.12,7172828.50,    197.73,      2.30,      5.06,      0.70
         1,     575.0,     173.3, 734932.12,7172828.50,    198.41,      2.30,      5.04,      0.70
         1,     575.0,     131.1, 734932.12,7172828.50,    198.76,      2.30,      5.03,      0.70
         1,     625.0,     562.7, 734932.12,7172778.50,    116.10,      2.06,      8.61,      0.94
         1,     625.0,     550.7, 734932.12,7172778.50,    117.79,      2.07,      8.49,      0.93
         1,     625.0,     538.7, 734932.12,7172778.50,    120.80,      2.08,      8.28,      0.92
         1,     625.0,     522.7, 734932.12,7172778.50,    127.94,      2.11,      7.82,      0.89
         1,     625.0,     502.1, 734932.12,7172778.50,    136.92,      2.14,      7.30,      0.86
         1,     625.0,     480.3, 734932.12,7172778.50,    147.06,      2.17,      6.80,      0.83
         1,     625.0,     457.1, 734932.12,7172778.50,    157.33,      2.20,      6.36,      0.80
         1,     625.0,     432.6, 734932.12,7172778.50,    166.92,      2.22,      5.99,      0.78
         1,     625.0,     406.6, 734932.12,7172778.50,    175.33,      2.24,      5.70,      0.76
         1,     625.0,     379.0, 734932.12,7172778.50,    182.25,      2.26,      5.49,      0.74
         1,     625.0,     349.8, 734932.12,7172778.50,    187.64,      2.27,      5.33,      0.73
         1,     625.0,     318.8, 734932.12,7172778.50,    191.62,      2.28,      5.22,      0.72
         1,     625.0,     286.0, 734932.12,7172778.50,    194.42,      2.29,      5.14,      0.71
         1,     625.0,     250.8, 734932.12,7172778.50,    196.34,      2.29,      5.09,      0.71
         1,     625.0,     213.2, 734932.12,7172778.50,    197.57,      2.30,      5.06,      0.70
         1,     625.0,     173.3, 734932.12,7172778.50,    198.31,      2.30,      5.04,      0.70
         1,     625.0,     131.1, 734932.12,7172778.50,    198.69,      2.30,      5.03,      0.70
         1,     675.0,     563.0, 734932.00,7172728.50,     99.09,      2.00,     10.09,      1.00
         1,     675.0,     551.0, 734932.00,7172728.50,    101.02,      2.00,      9.90,      1.00
         1,     675.0,     539.0, 734932.00,7172728.50,    104.49,      2.02,      9.57,      0.98
         1,     675.0,     523.0, 734932.00,7172728.50,    112.91,      2.05,      8.86,      0.95
         1,     675.0,     502.4, 734932.00,7172728.50,    123.74,      2.09,      8.08,      0.91
         1,     675.0,     480.5, 734932.00,7172728.50,    136.17,      2.13,      7.34,      0.87
         1,     675.0,     457.4, 734932.00,7172728.50,    148.85,      2.17,      6.72,      0.83
         1,     675.0,     432.8, 734932.00,7172728.50,    160.68,      2.21,      6.22,      0.79
         1,     675.0,     406.8, 734932.00,7172728.50,    170.97,      2.23,      5.85,      0.77
         1,     675.0,     379.3, 734932.00,7172728.50,    179.36,      2.25,      5.58,      0.75
         1,     675.0,     350.0, 734932.00,7172728.50,    185.81,      2.27,      5.38,      0.73
         1,     675.0,     319.1, 734932.00,7172728.50,    190.51,      2.28,      5.25,      0.72
         1,     675.0,     286.2, 734932.00,7172728.50,    193.77,      2.29,      5.16,      0.71
         1,     675.0,     251.0, 734932.00,7172728.50,    195.98,      2.29,      5.10,      0.71
         1,     675.0,     213.3, 734932.00,7172728.50,    197.37,      2.30,      5.07,      0.70
         1,     675.0,     173.4, 734932.00,7172728.50,    198.20,      2.30,      5.05,      0.70
         1,     675.0,     131.2, 734932.00,7172728.50,    198.61,      2.30,      5.04,      0.70
         1,     725.0,     563.4, 734932.00,7172678.50,     87.60,      1.94,     11.42,      1.06
         1,     725.0,     551.4, 734932.00,7172678.50,     89.53,      1.95,     11.17,      1.05
         1,     725.0,     539.4, 734932.00,7172678.50,     93.08,      1.97,     10.74,      1.03
         1,     725.0,     523.4, 734932.00,7172678.50,    101.85,      2.01,      9.82,      0.99
         1,     725.0,     502.8, 734932.00,7172678.50,    113.46,      2.05,      8.81,      0.95
         1,     725.0,     481.0, 734932.00,7172678.50,    127.14,      2.10,      7.87,      0.90
         1,     725.0,     457.9, 734932.00,7172678.50,    141.38,      2.15,      7.07,      0.85
         1,     725.0,     433.3, 734932.00,7172678.50,    154.88,      2.19,      6.46,      0.81
         1,     725.0,     407.3, 734932.00,7172678.50,    166.72,      2.22,      6.00,      0.78
         1,     725.0,     379.7, 734932.00,7172678.50,    176.42,      2.25,      5.67,      0.75
         1,     725.0,     350.5, 734932.00,7172678.50,    183.88,      2.26,      5.44,      0.74
         1,     725.0,     319.5, 734932.00,7172678.50,    189.30,      2.28,      5.28,      0.72
         1,     725.0,     286.7, 734932.00,7172678.50,    193.04,      2.29,      5.18,      0.71
         1,     725.0,     251.4, 734932.00,7172678.50,    195.56,      2.29,      5.11,      0.71
         1,     725.0,     213.6, 734932.00,7172678.50,    197.13,      2.29,      5.07,      0.71
         1,     725.0,     173.6, 734932.00,7172678.50,    198.06,      2.30,      5.05,      0.70
         1,     725.0,     131.2, 734932.00,7172678.50,    198.51,      2.30,      5.04,      0.70
         1,     775.0,     564.2, 734931.88,7172628.50,     80.74,      1.91,     12.39,      1.09
         1,     775.0,     552.2, 734931.88,7172628.50,     82.56,      1.92,     12.11,      1.08
         1,     775.0,     540.2, 734931.88,7172628.50,     85.98,      1.93,     11.63,      1.07
         1,     775.0,     524.2, 734931.88,7172628.50,     94.58,      1.98,     10.57,      1.02
         1,     775.0,     503.6, 734931.88,7172628.50,    106.26,      2.03,      9.41,      0.97
         1,     775.0,     481.7, 734931.88,7172628.50,    120.37,      2.08,      8.31,      0.92
         1,     775.0,     458.6, 734931.88,7172628.50,    135.41,      2.13,      7.38,      0.87
         1,     775.0,     434.0, 734931.88,7172628.50,    149.96,      2.18,      6.67,      0.82
         1,     775.0,     408.0, 734931.88,7172628.50,    162.92,      2.21,      6.14,      0.79
         1,     775.0,     380.5, 734931.88,7172628.50,    173.66,      2.24,      5.76,      0.76
         1,     775.0,     351.2, 734931.88,7172628.50,    181.99,      2.26,      5.49,      0.74
         1,     775.0,     320.3, 734931.88,7172628.50,    188.07,      2.27,      5.32,      0.73
         1,     775.0,     287.4, 734931.88,7172628.50,    192.26,      2.28,      5.20,      0.72
         1,     775.0,     252.1, 734931.88,7172628.50,    195.10,      2.29,      5.13,      0.71
         1,     775.0,     214.1, 734931.88,7172628.50,    196.87,      2.29,      5.08,      0.71
         1,     775.0,     173.9, 734931.88,7172628.50,    197.90,      2.30,      5.05,      0.70
         1,     775.0,     131.3, 734931.88,7172628.50,    198.40,      2.30,      5.04,      0.70
         1,     825.0,     565.0, 734931.88,7172578.50,     76.99,      1.89,     12.99,      1.11
         1,     825.0,     553.0, 734931.88,7172578.50,     78.69,      1.90,     12.71,      1.10
         1,     825.0,     541.0, 734931.88,7172578.50,     81.92,      1.91,     12.21,      1.09
         1,     825.0,     525.0, 734931.88,7172578.50,     90.17,      1.96,     11.09,      1.04
         1,     825.0,     504.4, 734931.88,7172578.50,    101.58,      2.01,      9.84,      0.99
         1,     825.0,     482.5, 734931.88,7172578.50,    115.65,      2.06,      8.65,      0.94
         1,     825.0,     459.4, 734931.88,7172578.50,    130.97,      2.12,      7.64,      0.88
         1,     825.0,     434.8, 734931.88,7172578.50,    146.07,      2.16,      6.85,      0.84
         1,     825.0,     408.8, 734931.88,7172578.50,    159.76,      2.20,      6.26,      0.80
         1,     825.0,     381.3, 734931.88,7172578.50,    171.25,      2.23,      5.84,      0.77
         1,     825.0,     352.0, 734931.88,7172578.50,    180.26,      2.26,      5.55,      0.74
         1,     825.0,     321.1, 734931.88,7172578.50,    186.89,      2.27,      5.35,      0.73
         1,     825.0,     288.2, 734931.88,7172578.50,    191.49,      2.28,      5.22,      0.72
         1,     825.0,     252.8, 734931.88,7172578.50,    194.63,      2.29,      5.14,      0.71
         1,     825.0,     214.6, 734931.88,7172578.50,    196.58,      2.29,      5.09,      0.71
         1,     825.0,     174.2, 734931.88,7172578.50,    197.73,      2.30,      5.06,      0.70
         1,     825.0,     131.4, 734931.88,7172578.50,    198.28,      2.30,      5.04,      0.70
         1,     875.0,     565.6, 734931.75,7172528.50,     74.98,      1.87,     13.34,      1.13
         1,     875.0,     553.6, 734931.75,7172528.50,     76.59,      1.88,     13.06,      1.12
         1,     875.0,     541.6, 734931.75,7172528.50,     79.66,      1.90,     12.55,      1.10
         1,     875.0,     525.6, 734931.75,7172528.50,     87.58,      1.94,     11.42,      1.06
         1,     875.0,     505.0, 734931.75,7172528.50,     98.68,      1.99,     10.13,      1.01
         1,     875.0,     483.2, 734931.75,7172528.50,    112.53,      2.05,      8.89,      0.95
         1,     875.0,     460.0, 734931.75,7172528.50,    127.85,      2.11,      7.82,      0.89
         1,     875.0,     435.5, 734931.75,7172528.50,    143.19,      2.16,      6.98,      0.84
         1,     875.0,     409.5, 734931.75,7172528.50,    157.28,      2.20,      6.36,      0.80
         1,     875.0,     381.9, 734931.75,7172528.50,    169.27,      2.23,      5.91,      0.77
         1,     875.0,     352.7, 734931.75,7172528.50,    178.78,      2.25,      5.59,      0.75
         1,     875.0,     321.7, 734931.75,7172528.50,    185.83,      2.27,      5.38,      0.73
         1,     875.0,     288.9, 734931.75,7172528.50,    190.76,      2.28,      5.24,      0.72
         1,     875.0,     253.4, 734931.75,7172528.50,    194.17,      2.29,      5.15,      0.71
         1,     875.0,     215.0, 734931.75,7172528.50,    196.30,      2.29,      5.09,      0.71
         1,     875.0,     174.4, 734931.75,7172528.50,    197.54,      2.30,      5.06,      0.70
         1,     875.0,     131.5, 734931.75,7172528.50,    198.15,      2.30,      5.05,      0.70
         1,     925.0,     566.0, 734931.75,7172478.50,     73.84,      1.87,     13.54,      1.13
         1,     925.0,     554.0, 734931.75,7172478.50,     75.40,      1.88,     13.26,      1.12
